RVSN_Group,merged_symptom,MDCARE_YM,COUNT
1,J00,200401,65083
1,J00,200402,58089
1,J00,200403,89390
1,J00,200404,80773
1,J00,200405,67032
1,J00,200406,53475
1,J00,200407,43090
1,J00,200408,41592
1,J00,200409,66020
1,J00,200410,77335
1,J00,200411,74046
1,J00,200412,78759
1,J00,200501,65458
1,J00,200502,47333
1,J00,200503,70472
1,J00,200504,84173
1,J00,200505,76126
1,J00,200506,53064
1,J00,200507,43451
1,J00,200508,41342
1,J00,200509,60674
1,J00,200510,79827
1,J00,200511,78750
1,J00,200512,104250
1,J00,200601,75241
1,J00,200602,62804
1,J00,200603,81013
1,J00,200604,85828
1,J00,200605,69561
1,J00,200606,54576
1,J00,200607,43241
1,J00,200608,40553
1,J00,200609,71732
1,J00,200610,66783
1,J00,200611,82667
1,J00,200612,88276
1,J00,200701,82284
1,J00,200702,55397
1,J00,200703,64947
1,J00,200704,73403
1,J00,200705,61598
1,J00,200706,58608
1,J00,200707,58423
1,J00,200708,51575
1,J00,200709,89008
1,J00,200710,103397
1,J00,200711,111457
1,J00,200712,121553
1,J00,200801,101418
1,J00,200802,102431
1,J00,200803,101154
1,J00,200804,94305
1,J00,200805,85231
1,J00,200806,70766
1,J00,200807,56188
1,J00,200808,49896
1,J00,200809,73836
1,J00,200810,92515
1,J00,200811,95031
1,J00,200812,126519
1,J00,200901,94845
1,J00,200902,67635
1,J00,200903,91413
1,J00,200904,109799
1,J00,200905,86073
1,J00,200906,70754
1,J00,200907,59904
1,J00,200908,67108
1,J00,200909,116045
1,J00,200910,132704
1,J00,200911,136286
1,J00,200912,114682
1,J00,201001,91876
1,J00,201002,81208
1,J00,201003,113418
1,J00,201004,126952
1,J00,201005,102084
1,J00,201006,79090
1,J00,201007,66092
1,J00,201008,57381
1,J00,201009,96175
1,J00,201010,115489
1,J00,201011,113878
1,J00,201012,129698
1,J00,201101,105984
1,J00,201102,85279
1,J00,201103,118965
1,J00,201104,106921
1,J00,201105,98578
1,J00,201106,79059
1,J00,201107,67455
1,J00,201108,71735
1,J00,201109,106427
1,J00,201110,120806
1,J00,201111,115757
1,J00,201112,127963
1,J00,201201,122772
1,J00,201202,123356
1,J00,201203,140461
1,J00,201204,128843
1,J00,201205,112989
1,J00,201206,89320
1,J00,201207,82709
1,J00,201208,77620
1,J00,201209,128948
1,J00,201210,138089
1,J00,201211,140248
1,J00,201212,125255
1,J00,201301,134502
1,J00,201302,125948
1,J00,201303,148592
1,J00,201304,148203
1,J00,201305,125166
1,J00,201306,97988
1,J00,201307,89301
1,J00,201308,87668
1,J00,201309,126946
1,J00,201310,137248
1,J00,201311,142155
1,J00,201312,129229
