RVSN_Group,merged_symptom,MDCARE_YM,COUNT
2,J02,200401,3900
2,J02,200402,3804
2,J02,200403,6471
2,J02,200404,5292
2,J02,200405,4457
2,J02,200406,3480
2,J02,200407,2958
2,J02,200408,2703
2,J02,200409,3957
2,J02,200410,4662
2,J02,200411,4782
2,J02,200412,4998
2,J02,200501,3654
2,J02,200502,2844
2,J02,200503,4387
2,J02,200504,5229
2,J02,200505,5279
2,J02,200506,3846
2,J02,200507,3102
2,J02,200508,2942
2,J02,200509,3866
2,J02,200510,4695
2,J02,200511,5137
2,J02,200512,6695
2,J02,200601,4699
2,J02,200602,3771
2,J02,200603,4668
2,J02,200604,4854
2,J02,200605,5107
2,J02,200606,3894
2,J02,200607,2898
2,J02,200608,2675
2,J02,200609,4108
2,J02,200610,3693
2,J02,200611,4373
2,J02,200612,4742
2,J02,200701,5092
2,J02,200702,3367
2,J02,200703,4086
2,J02,200704,5154
2,J02,200705,4452
2,J02,200706,3989
2,J02,200707,3831
2,J02,200708,3474
2,J02,200709,5161
2,J02,200710,5326
2,J02,200711,5464
2,J02,200712,6379
2,J02,200801,6166
2,J02,200802,5935
2,J02,200803,6606
2,J02,200804,5912
2,J02,200805,5674
2,J02,200806,4869
2,J02,200807,4230
2,J02,200808,3567
2,J02,200809,4624
2,J02,200810,4996
2,J02,200811,4998
2,J02,200812,7704
2,J02,200901,6373
2,J02,200902,4160
2,J02,200903,5548
2,J02,200904,6926
2,J02,200905,5417
2,J02,200906,4876
2,J02,200907,4272
2,J02,200908,4484
2,J02,200909,7173
2,J02,200910,8372
2,J02,200911,8486
2,J02,200912,6957
2,J02,201001,5272
2,J02,201002,4569
2,J02,201003,6819
2,J02,201004,8928
2,J02,201005,6490
2,J02,201006,5552
2,J02,201007,4643
2,J02,201008,4175
2,J02,201009,6243
2,J02,201010,7109
2,J02,201011,6687
2,J02,201012,8168
2,J02,201101,6243
2,J02,201102,4623
2,J02,201103,7003
2,J02,201104,6523
2,J02,201105,6541
2,J02,201106,5534
2,J02,201107,4661
2,J02,201108,4629
2,J02,201109,6678
2,J02,201110,6647
2,J02,201111,6460
2,J02,201112,7216
2,J02,201201,7655
2,J02,201202,7045
2,J02,201203,8003
2,J02,201204,7695
2,J02,201205,6426
2,J02,201206,5169
2,J02,201207,4459
2,J02,201208,4162
2,J02,201209,5909
2,J02,201210,6311
2,J02,201211,6370
2,J02,201212,5775
2,J02,201301,6294
2,J02,201302,5995
2,J02,201303,7314
2,J02,201304,7445
2,J02,201305,6097
2,J02,201306,4834
2,J02,201307,4470
2,J02,201308,4222
2,J02,201309,5503
2,J02,201310,5812
2,J02,201311,5969
2,J02,201312,5644
