RVSN_Group,merged_symptom,MDCARE_YM,COUNT
4,J03,200401,28013
4,J03,200402,23536
4,J03,200403,40079
4,J03,200404,34436
4,J03,200405,29078
4,J03,200406,26558
4,J03,200407,24654
4,J03,200408,21736
4,J03,200409,32206
4,J03,200410,36602
4,J03,200411,33857
4,J03,200412,36404
4,J03,200501,29354
4,J03,200502,24486
4,J03,200503,34777
4,J03,200504,45429
4,J03,200505,38644
4,J03,200506,28846
4,J03,200507,26181
4,J03,200508,23518
4,J03,200509,29084
4,J03,200510,34993
4,J03,200511,34683
4,J03,200512,45063
4,J03,200601,40549
4,J03,200602,29229
4,J03,200603,33153
4,J03,200604,40113
4,J03,200605,39630
4,J03,200606,27179
4,J03,200607,22931
4,J03,200608,21455
4,J03,200609,30124
4,J03,200610,27249
4,J03,200611,31078
4,J03,200612,35058
4,J03,200701,36716
4,J03,200702,24917
4,J03,200703,29122
4,J03,200704,39365
4,J03,200705,32260
4,J03,200706,31092
4,J03,200707,33320
4,J03,200708,29466
4,J03,200709,42151
4,J03,200710,45920
4,J03,200711,47407
4,J03,200712,48934
4,J03,200801,46058
4,J03,200802,61279
4,J03,200803,55541
4,J03,200804,50072
4,J03,200805,46243
4,J03,200806,39232
4,J03,200807,33662
4,J03,200808,27924
4,J03,200809,36983
4,J03,200810,43900
4,J03,200811,42694
4,J03,200812,68790
4,J03,200901,52901
4,J03,200902,35792
4,J03,200903,48053
4,J03,200904,58235
4,J03,200905,46050
4,J03,200906,38398
4,J03,200907,34761
4,J03,200908,35655
4,J03,200909,51407
4,J03,200910,56922
4,J03,200911,64539
4,J03,200912,51195
4,J03,201001,39403
4,J03,201002,34218
4,J03,201003,50903
4,J03,201004,68405
4,J03,201005,51925
4,J03,201006,42999
4,J03,201007,35538
4,J03,201008,30411
4,J03,201009,44118
4,J03,201010,50067
4,J03,201011,49851
4,J03,201012,58449
4,J03,201101,40904
4,J03,201102,32323
4,J03,201103,42405
4,J03,201104,43234
4,J03,201105,40681
4,J03,201106,33014
4,J03,201107,28233
4,J03,201108,29339
4,J03,201109,37910
4,J03,201110,38738
4,J03,201111,37506
4,J03,201112,46710
4,J03,201201,46681
4,J03,201202,47898
4,J03,201203,47582
4,J03,201204,47080
4,J03,201205,43537
4,J03,201206,32636
4,J03,201207,29623
4,J03,201208,27749
4,J03,201209,38638
4,J03,201210,42033
4,J03,201211,40668
4,J03,201212,38561
4,J03,201301,40533
4,J03,201302,47132
4,J03,201303,47608
4,J03,201304,46434
4,J03,201305,42502
4,J03,201306,35837
4,J03,201307,32397
4,J03,201308,30300
4,J03,201309,37367
4,J03,201310,37595
4,J03,201311,38256
4,J03,201312,39840
