RVSN_Group,merged_symptom,MDCARE_YM,COUNT
1,J03,200401,116805
1,J03,200402,112290
1,J03,200403,180435
1,J03,200404,167501
1,J03,200405,143886
1,J03,200406,130133
1,J03,200407,116041
1,J03,200408,100997
1,J03,200409,148804
1,J03,200410,156677
1,J03,200411,151068
1,J03,200412,166520
1,J03,200501,137667
1,J03,200502,101301
1,J03,200503,152685
1,J03,200504,198169
1,J03,200505,190747
1,J03,200506,144335
1,J03,200507,130684
1,J03,200508,114723
1,J03,200509,148807
1,J03,200510,171733
1,J03,200511,170618
1,J03,200512,237135
1,J03,200601,153850
1,J03,200602,114531
1,J03,200603,145539
1,J03,200604,186392
1,J03,200605,156688
1,J03,200606,125953
1,J03,200607,109001
1,J03,200608,95670
1,J03,200609,142418
1,J03,200610,125599
1,J03,200611,151583
1,J03,200612,173154
1,J03,200701,161258
1,J03,200702,106779
1,J03,200703,128003
1,J03,200704,158670
1,J03,200705,145142
1,J03,200706,155108
1,J03,200707,167786
1,J03,200708,143263
1,J03,200709,208024
1,J03,200710,221953
1,J03,200711,232754
1,J03,200712,262682
1,J03,200801,218361
1,J03,200802,233314
1,J03,200803,233199
1,J03,200804,229462
1,J03,200805,220696
1,J03,200806,205041
1,J03,200807,173475
1,J03,200808,136050
1,J03,200809,179885
1,J03,200810,206813
1,J03,200811,213673
1,J03,200812,315308
1,J03,200901,217144
1,J03,200902,149166
1,J03,200903,213056
1,J03,200904,283468
1,J03,200905,219457
1,J03,200906,193314
1,J03,200907,168841
1,J03,200908,168730
1,J03,200909,267017
1,J03,200910,294708
1,J03,200911,290124
1,J03,200912,230198
1,J03,201001,173761
1,J03,201002,153951
1,J03,201003,234754
1,J03,201004,295807
1,J03,201005,238522
1,J03,201006,200755
1,J03,201007,172228
1,J03,201008,148319
1,J03,201009,221857
1,J03,201010,238954
1,J03,201011,228102
1,J03,201012,270899
1,J03,201101,182103
1,J03,201102,143371
1,J03,201103,195657
1,J03,201104,194145
1,J03,201105,195270
1,J03,201106,165681
1,J03,201107,145351
1,J03,201108,140066
1,J03,201109,186821
1,J03,201110,200408
1,J03,201111,197824
1,J03,201112,205080
1,J03,201201,204691
1,J03,201202,209366
1,J03,201203,240567
1,J03,201204,221042
1,J03,201205,191663
1,J03,201206,154819
1,J03,201207,139419
1,J03,201208,124050
1,J03,201209,178422
1,J03,201210,184521
1,J03,201211,187464
1,J03,201212,171917
1,J03,201301,187383
1,J03,201302,177787
1,J03,201303,205566
1,J03,201304,206179
1,J03,201305,185435
1,J03,201306,163762
1,J03,201307,156202
1,J03,201308,143224
1,J03,201309,179743
1,J03,201310,184111
1,J03,201311,187802
1,J03,201312,175612
