RVSN_Group,merged_symptom,MDCARE_YM,COUNT
5,J05,200401,935
5,J05,200402,1063
5,J05,200403,1756
5,J05,200404,1386
5,J05,200405,1074
5,J05,200406,892
5,J05,200407,846
5,J05,200408,772
5,J05,200409,1074
5,J05,200410,1210
5,J05,200411,1087
5,J05,200412,1152
5,J05,200501,945
5,J05,200502,824
5,J05,200503,1293
5,J05,200504,1558
5,J05,200505,1361
5,J05,200506,876
5,J05,200507,746
5,J05,200508,687
5,J05,200509,1200
5,J05,200510,1388
5,J05,200511,1378
5,J05,200512,1718
5,J05,200601,1103
5,J05,200602,872
5,J05,200603,1015
5,J05,200604,1337
5,J05,200605,1196
5,J05,200606,866
5,J05,200607,680
5,J05,200608,725
5,J05,200609,934
5,J05,200610,823
5,J05,200611,947
5,J05,200612,1134
5,J05,200701,1079
5,J05,200702,765
5,J05,200703,952
5,J05,200704,1176
5,J05,200705,1240
5,J05,200706,1266
5,J05,200707,1079
5,J05,200708,1054
5,J05,200709,1714
5,J05,200710,1925
5,J05,200711,1632
5,J05,200712,1679
5,J05,200801,1585
5,J05,200802,1779
5,J05,200803,1602
5,J05,200804,1705
5,J05,200805,1645
5,J05,200806,1323
5,J05,200807,925
5,J05,200808,844
5,J05,200809,1344
5,J05,200810,1651
5,J05,200811,1664
5,J05,200812,2372
5,J05,200901,1843
5,J05,200902,1235
5,J05,200903,1543
5,J05,200904,1991
5,J05,200905,1679
5,J05,200906,1369
5,J05,200907,1220
5,J05,200908,1237
5,J05,200909,1792
5,J05,200910,1899
5,J05,200911,1512
5,J05,200912,1487
5,J05,201001,1275
5,J05,201002,1236
5,J05,201003,1818
5,J05,201004,2660
5,J05,201005,2123
5,J05,201006,1717
5,J05,201007,1398
5,J05,201008,1229
5,J05,201009,1692
5,J05,201010,2079
5,J05,201011,2038
5,J05,201012,2111
5,J05,201101,1470
5,J05,201102,1067
5,J05,201103,1495
5,J05,201104,1727
5,J05,201105,2024
5,J05,201106,1398
5,J05,201107,1195
5,J05,201108,1191
5,J05,201109,1421
5,J05,201110,1741
5,J05,201111,1934
5,J05,201112,2311
5,J05,201201,1851
5,J05,201202,1974
5,J05,201203,2187
5,J05,201204,2525
5,J05,201205,2283
5,J05,201206,1291
5,J05,201207,1727
5,J05,201208,1904
5,J05,201209,2005
5,J05,201210,1947
5,J05,201211,2145
5,J05,201212,1617
5,J05,201301,1652
5,J05,201302,2377
5,J05,201303,2455
5,J05,201304,2155
5,J05,201305,1902
5,J05,201306,1460
5,J05,201307,1422
5,J05,201308,1632
5,J05,201309,1962
5,J05,201310,2153
5,J05,201311,2038
5,J05,201312,1666
