RVSN_Group,merged_symptom,MDCARE_YM,COUNT
5,J06,200401,55261
5,J06,200402,53949
5,J06,200403,79076
5,J06,200404,67800
5,J06,200405,52172
5,J06,200406,42386
5,J06,200407,33744
5,J06,200408,33619
5,J06,200409,53149
5,J06,200410,67021
5,J06,200411,62076
5,J06,200412,68471
5,J06,200501,56214
5,J06,200502,49275
5,J06,200503,66864
5,J06,200504,71814
5,J06,200505,63244
5,J06,200506,42473
5,J06,200507,34086
5,J06,200508,32437
5,J06,200509,48567
5,J06,200510,67912
5,J06,200511,72013
5,J06,200512,98711
5,J06,200601,69842
5,J06,200602,60905
5,J06,200603,68621
5,J06,200604,75144
5,J06,200605,63373
5,J06,200606,45331
5,J06,200607,34474
5,J06,200608,31979
5,J06,200609,58189
5,J06,200610,54372
5,J06,200611,66113
5,J06,200612,71658
5,J06,200701,77573
5,J06,200702,56820
5,J06,200703,62805
5,J06,200704,66966
5,J06,200705,57316
5,J06,200706,54377
5,J06,200707,53347
5,J06,200708,44281
5,J06,200709,74183
5,J06,200710,93377
5,J06,200711,102847
5,J06,200712,111627
5,J06,200801,110774
5,J06,200802,116649
5,J06,200803,107259
5,J06,200804,97460
5,J06,200805,83035
5,J06,200806,67587
5,J06,200807,49951
5,J06,200808,44523
5,J06,200809,66091
5,J06,200810,85811
5,J06,200811,88255
5,J06,200812,130094
5,J06,200901,113731
5,J06,200902,67557
5,J06,200903,86591
5,J06,200904,110050
5,J06,200905,85595
5,J06,200906,64634
5,J06,200907,53035
5,J06,200908,61300
5,J06,200909,100971
5,J06,200910,130336
5,J06,200911,136540
5,J06,200912,115342
5,J06,201001,99280
5,J06,201002,83739
5,J06,201003,102905
5,J06,201004,126930
5,J06,201005,104600
5,J06,201006,77529
5,J06,201007,59193
5,J06,201008,48853
5,J06,201009,85895
5,J06,201010,107958
5,J06,201011,107676
5,J06,201012,129998
5,J06,201101,108266
5,J06,201102,79052
5,J06,201103,106047
5,J06,201104,100782
5,J06,201105,88051
5,J06,201106,69411
5,J06,201107,54728
5,J06,201108,55565
5,J06,201109,85383
5,J06,201110,94727
5,J06,201111,98732
5,J06,201112,123049
5,J06,201201,119538
5,J06,201202,123234
5,J06,201203,123748
5,J06,201204,117929
5,J06,201205,101831
5,J06,201206,70200
5,J06,201207,56980
5,J06,201208,53883
5,J06,201209,84659
5,J06,201210,108789
5,J06,201211,102414
5,J06,201212,94539
5,J06,201301,100433
5,J06,201302,110601
5,J06,201303,114202
5,J06,201304,106731
5,J06,201305,85852
5,J06,201306,62179
5,J06,201307,55420
5,J06,201308,54967
5,J06,201309,82842
5,J06,201310,97634
5,J06,201311,104533
5,J06,201312,99258
