RVSN_Group,merged_symptom,MDCARE_YM,COUNT
5,J03,200401,65923
5,J03,200402,70661
5,J03,200403,106422
5,J03,200404,88386
5,J03,200405,72225
5,J03,200406,64421
5,J03,200407,60090
5,J03,200408,52605
5,J03,200409,75007
5,J03,200410,87912
5,J03,200411,82045
5,J03,200412,89922
5,J03,200501,72327
5,J03,200502,64828
5,J03,200503,90654
5,J03,200504,101245
5,J03,200505,97263
5,J03,200506,72417
5,J03,200507,63535
5,J03,200508,58664
5,J03,200509,77659
5,J03,200510,91742
5,J03,200511,98302
5,J03,200512,134405
5,J03,200601,87923
5,J03,200602,71453
5,J03,200603,79565
5,J03,200604,100517
5,J03,200605,87580
5,J03,200606,66140
5,J03,200607,54435
5,J03,200608,48311
5,J03,200609,73981
5,J03,200610,66174
5,J03,200611,77004
5,J03,200612,82971
5,J03,200701,88536
5,J03,200702,64908
5,J03,200703,73167
5,J03,200704,83677
5,J03,200705,75483
5,J03,200706,78660
5,J03,200707,83423
5,J03,200708,68715
5,J03,200709,100546
5,J03,200710,113491
5,J03,200711,119486
5,J03,200712,136094
5,J03,200801,132742
5,J03,200802,144545
5,J03,200803,129771
5,J03,200804,128804
5,J03,200805,117093
5,J03,200806,104069
5,J03,200807,86445
5,J03,200808,69281
5,J03,200809,89470
5,J03,200810,108837
5,J03,200811,109376
5,J03,200812,165346
5,J03,200901,134680
5,J03,200902,83123
5,J03,200903,111299
5,J03,200904,148813
5,J03,200905,119635
5,J03,200906,96535
5,J03,200907,84468
5,J03,200908,84915
5,J03,200909,127973
5,J03,200910,157032
5,J03,200911,154324
5,J03,200912,126366
5,J03,201001,101256
5,J03,201002,89560
5,J03,201003,117919
5,J03,201004,154626
5,J03,201005,129113
5,J03,201006,100489
5,J03,201007,82951
5,J03,201008,70408
5,J03,201009,110016
5,J03,201010,123176
5,J03,201011,119782
5,J03,201012,144242
5,J03,201101,100361
5,J03,201102,76703
5,J03,201103,102194
5,J03,201104,104660
5,J03,201105,100570
5,J03,201106,84897
5,J03,201107,73830
5,J03,201108,70105
5,J03,201109,94692
5,J03,201110,97310
5,J03,201111,100865
5,J03,201112,117610
5,J03,201201,115335
5,J03,201202,123459
5,J03,201203,125215
5,J03,201204,121169
5,J03,201205,107198
5,J03,201206,83434
5,J03,201207,72455
5,J03,201208,65808
5,J03,201209,90625
5,J03,201210,104427
5,J03,201211,98907
5,J03,201212,90451
5,J03,201301,94673
5,J03,201302,108910
5,J03,201303,112875
5,J03,201304,107195
5,J03,201305,94040
5,J03,201306,79228
5,J03,201307,74890
5,J03,201308,70554
5,J03,201309,91668
5,J03,201310,98800
5,J03,201311,99999
5,J03,201312,94144
