RVSN_Group,merged_symptom,MDCARE_YM,COUNT
2,J01,200401,4078
2,J01,200402,3732
2,J01,200403,5447
2,J01,200404,4961
2,J01,200405,4391
2,J01,200406,3560
2,J01,200407,2675
2,J01,200408,2566
2,J01,200409,4300
2,J01,200410,5258
2,J01,200411,5555
2,J01,200412,5908
2,J01,200501,4049
2,J01,200502,3403
2,J01,200503,4858
2,J01,200504,5612
2,J01,200505,5177
2,J01,200506,3698
2,J01,200507,2652
2,J01,200508,2777
2,J01,200509,4522
2,J01,200510,5714
2,J01,200511,6250
2,J01,200512,7555
2,J01,200601,5266
2,J01,200602,4320
2,J01,200603,5318
2,J01,200604,5370
2,J01,200605,4789
2,J01,200606,3565
2,J01,200607,2541
2,J01,200608,2221
2,J01,200609,4575
2,J01,200610,3848
2,J01,200611,5013
2,J01,200612,4884
2,J01,200701,4835
2,J01,200702,3568
2,J01,200703,4687
2,J01,200704,5406
2,J01,200705,4524
2,J01,200706,4830
2,J01,200707,4368
2,J01,200708,3542
2,J01,200709,6266
2,J01,200710,8256
2,J01,200711,9089
2,J01,200712,9203
2,J01,200801,8028
2,J01,200802,7465
2,J01,200803,8468
2,J01,200804,8566
2,J01,200805,8081
2,J01,200806,5981
2,J01,200807,4060
2,J01,200808,3822
2,J01,200809,5929
2,J01,200810,7513
2,J01,200811,7749
2,J01,200812,10007
2,J01,200901,8643
2,J01,200902,6669
2,J01,200903,8800
2,J01,200904,9691
2,J01,200905,7641
2,J01,200906,6093
2,J01,200907,4679
2,J01,200908,5183
2,J01,200909,8758
2,J01,200910,9703
2,J01,200911,9275
2,J01,200912,9787
2,J01,201001,7772
2,J01,201002,7174
2,J01,201003,10338
2,J01,201004,12245
2,J01,201005,9590
2,J01,201006,7788
2,J01,201007,5706
2,J01,201008,4339
2,J01,201009,7358
2,J01,201010,9814
2,J01,201011,10393
2,J01,201012,10907
2,J01,201101,8248
2,J01,201102,6426
2,J01,201103,9838
2,J01,201104,9288
2,J01,201105,8324
2,J01,201106,6557
2,J01,201107,4956
2,J01,201108,4896
2,J01,201109,7995
2,J01,201110,9006
2,J01,201111,9119
2,J01,201112,10688
2,J01,201201,9407
2,J01,201202,9284
2,J01,201203,10493
2,J01,201204,10162
2,J01,201205,9110
2,J01,201206,6076
2,J01,201207,4531
2,J01,201208,4517
2,J01,201209,7880
2,J01,201210,8973
2,J01,201211,9652
2,J01,201212,8890
2,J01,201301,8576
2,J01,201302,8234
2,J01,201303,10136
2,J01,201304,10565
2,J01,201305,8761
2,J01,201306,5771
2,J01,201307,4618
2,J01,201308,4458
2,J01,201309,6956
2,J01,201310,8565
2,J01,201311,9677
2,J01,201312,8741
