RVSN_Group,merged_symptom,MDCARE_YM,COUNT
1,J05,200401,1657
1,J05,200402,1631
1,J05,200403,2805
1,J05,200404,2564
1,J05,200405,2164
1,J05,200406,1838
1,J05,200407,1565
1,J05,200408,1125
1,J05,200409,1650
1,J05,200410,1927
1,J05,200411,1952
1,J05,200412,1897
1,J05,200501,1640
1,J05,200502,1219
1,J05,200503,1943
1,J05,200504,2773
1,J05,200505,2412
1,J05,200506,1622
1,J05,200507,1258
1,J05,200508,1096
1,J05,200509,1851
1,J05,200510,2125
1,J05,200511,2109
1,J05,200512,2625
1,J05,200601,1862
1,J05,200602,1553
1,J05,200603,1899
1,J05,200604,2341
1,J05,200605,2231
1,J05,200606,1655
1,J05,200607,1403
1,J05,200608,1459
1,J05,200609,1989
1,J05,200610,1751
1,J05,200611,2185
1,J05,200612,2219
1,J05,200701,1921
1,J05,200702,1398
1,J05,200703,1584
1,J05,200704,2355
1,J05,200705,2007
1,J05,200706,2509
1,J05,200707,2674
1,J05,200708,2129
1,J05,200709,3201
1,J05,200710,3471
1,J05,200711,3397
1,J05,200712,3705
1,J05,200801,3033
1,J05,200802,3151
1,J05,200803,3308
1,J05,200804,3371
1,J05,200805,3272
1,J05,200806,2922
1,J05,200807,1971
1,J05,200808,1779
1,J05,200809,2883
1,J05,200810,3785
1,J05,200811,3925
1,J05,200812,4997
1,J05,200901,3294
1,J05,200902,2457
1,J05,200903,3217
1,J05,200904,4145
1,J05,200905,3259
1,J05,200906,2902
1,J05,200907,2417
1,J05,200908,2335
1,J05,200909,3467
1,J05,200910,3669
1,J05,200911,3381
1,J05,200912,3103
1,J05,201001,2540
1,J05,201002,2265
1,J05,201003,3621
1,J05,201004,5067
1,J05,201005,4499
1,J05,201006,3665
1,J05,201007,3256
1,J05,201008,2451
1,J05,201009,3497
1,J05,201010,4304
1,J05,201011,3997
1,J05,201012,3744
1,J05,201101,2639
1,J05,201102,2033
1,J05,201103,2660
1,J05,201104,3142
1,J05,201105,3599
1,J05,201106,3009
1,J05,201107,2544
1,J05,201108,2634
1,J05,201109,3069
1,J05,201110,3641
1,J05,201111,3622
1,J05,201112,3782
1,J05,201201,3500
1,J05,201202,3464
1,J05,201203,4417
1,J05,201204,4553
1,J05,201205,4276
1,J05,201206,2811
1,J05,201207,3501
1,J05,201208,3235
1,J05,201209,3643
1,J05,201210,3494
1,J05,201211,3562
1,J05,201212,2929
1,J05,201301,3545
1,J05,201302,3857
1,J05,201303,4487
1,J05,201304,4040
1,J05,201305,3873
1,J05,201306,3168
1,J05,201307,3075
1,J05,201308,3258
1,J05,201309,3581
1,J05,201310,3646
1,J05,201311,3586
1,J05,201312,3264
