RVSN_Group,merged_symptom,MDCARE_YM,COUNT
2,J04,200401,2830
2,J04,200402,2576
2,J04,200403,4194
2,J04,200404,3338
2,J04,200405,2786
2,J04,200406,2297
2,J04,200407,1911
2,J04,200408,1636
2,J04,200409,2591
2,J04,200410,3210
2,J04,200411,3497
2,J04,200412,3807
2,J04,200501,2794
2,J04,200502,2240
2,J04,200503,3211
2,J04,200504,4081
2,J04,200505,3974
2,J04,200506,2789
2,J04,200507,2014
2,J04,200508,2050
2,J04,200509,2971
2,J04,200510,3919
2,J04,200511,4192
2,J04,200512,5343
2,J04,200601,3977
2,J04,200602,3207
2,J04,200603,3831
2,J04,200604,4035
2,J04,200605,3858
2,J04,200606,2914
2,J04,200607,2055
2,J04,200608,1834
2,J04,200609,3181
2,J04,200610,2873
2,J04,200611,3507
2,J04,200612,3856
2,J04,200701,4466
2,J04,200702,2761
2,J04,200703,3196
2,J04,200704,4140
2,J04,200705,3664
2,J04,200706,3244
2,J04,200707,2949
2,J04,200708,2833
2,J04,200709,4425
2,J04,200710,5151
2,J04,200711,5478
2,J04,200712,6170
2,J04,200801,5980
2,J04,200802,5781
2,J04,200803,6547
2,J04,200804,5971
2,J04,200805,5832
2,J04,200806,4313
2,J04,200807,3029
2,J04,200808,2887
2,J04,200809,4117
2,J04,200810,4653
2,J04,200811,4920
2,J04,200812,7234
2,J04,200901,6201
2,J04,200902,4159
2,J04,200903,5375
2,J04,200904,6444
2,J04,200905,4899
2,J04,200906,4224
2,J04,200907,3214
2,J04,200908,3647
2,J04,200909,5993
2,J04,200910,6748
2,J04,200911,6857
2,J04,200912,6009
2,J04,201001,4842
2,J04,201002,3960
2,J04,201003,5801
2,J04,201004,7921
2,J04,201005,6327
2,J04,201006,4993
2,J04,201007,3453
2,J04,201008,2744
2,J04,201009,4842
2,J04,201010,6459
2,J04,201011,6770
2,J04,201012,7881
2,J04,201101,6275
2,J04,201102,4448
2,J04,201103,6389
2,J04,201104,6667
2,J04,201105,6593
2,J04,201106,5077
2,J04,201107,3667
2,J04,201108,3790
2,J04,201109,5980
2,J04,201110,6852
2,J04,201111,7125
2,J04,201112,7965
2,J04,201201,7826
2,J04,201202,7842
2,J04,201203,8001
2,J04,201204,8221
2,J04,201205,7303
2,J04,201206,5110
2,J04,201207,3901
2,J04,201208,3717
2,J04,201209,6225
2,J04,201210,7008
2,J04,201211,7250
2,J04,201212,6704
2,J04,201301,6983
2,J04,201302,6818
2,J04,201303,8302
2,J04,201304,8762
2,J04,201305,7578
2,J04,201306,5311
2,J04,201307,4616
2,J04,201308,4346
2,J04,201309,6380
2,J04,201310,7479
2,J04,201311,8151
2,J04,201312,7131
