RVSN_Group,merged_symptom,MDCARE_YM,COUNT
5,J02,200401,36726
5,J02,200402,37550
5,J02,200403,55794
5,J02,200404,48232
5,J02,200405,38615
5,J02,200406,33013
5,J02,200407,28000
5,J02,200408,26270
5,J02,200409,39450
5,J02,200410,47370
5,J02,200411,43734
5,J02,200412,48351
5,J02,200501,38495
5,J02,200502,34318
5,J02,200503,47399
5,J02,200504,53422
5,J02,200505,47840
5,J02,200506,33808
5,J02,200507,29374
5,J02,200508,27429
5,J02,200509,38231
5,J02,200510,47751
5,J02,200511,51605
5,J02,200512,69521
5,J02,200601,48282
5,J02,200602,41383
5,J02,200603,46505
5,J02,200604,53673
5,J02,200605,46334
5,J02,200606,34090
5,J02,200607,27187
5,J02,200608,24794
5,J02,200609,40750
5,J02,200610,35529
5,J02,200611,42816
5,J02,200612,45354
5,J02,200701,48971
5,J02,200702,36203
5,J02,200703,40317
5,J02,200704,44829
5,J02,200705,39788
5,J02,200706,40165
5,J02,200707,39946
5,J02,200708,33072
5,J02,200709,51046
5,J02,200710,60137
5,J02,200711,64494
5,J02,200712,71201
5,J02,200801,67528
5,J02,200802,69303
5,J02,200803,64564
5,J02,200804,63238
5,J02,200805,56473
5,J02,200806,47227
5,J02,200807,36811
5,J02,200808,31484
5,J02,200809,44234
5,J02,200810,54201
5,J02,200811,53907
5,J02,200812,78622
5,J02,200901,65948
5,J02,200902,42196
5,J02,200903,54184
5,J02,200904,70740
5,J02,200905,56426
5,J02,200906,44486
5,J02,200907,38786
5,J02,200908,42951
5,J02,200909,69432
5,J02,200910,85438
5,J02,200911,87404
5,J02,200912,70662
5,J02,201001,57820
5,J02,201002,50291
5,J02,201003,65649
5,J02,201004,83446
5,J02,201005,69898
5,J02,201006,53788
5,J02,201007,42707
5,J02,201008,36399
5,J02,201009,60584
5,J02,201010,70447
5,J02,201011,70017
5,J02,201012,82017
5,J02,201101,65907
5,J02,201102,50337
5,J02,201103,68057
5,J02,201104,67786
5,J02,201105,60562
5,J02,201106,49541
5,J02,201107,42442
5,J02,201108,41459
5,J02,201109,61855
5,J02,201110,65259
5,J02,201111,67293
5,J02,201112,82106
5,J02,201201,77568
5,J02,201202,83865
5,J02,201203,85714
5,J02,201204,82621
5,J02,201205,72662
5,J02,201206,53695
5,J02,201207,46145
5,J02,201208,42037
5,J02,201209,63601
5,J02,201210,74811
5,J02,201211,70009
5,J02,201212,63584
5,J02,201301,65750
5,J02,201302,74856
5,J02,201303,78209
5,J02,201304,74761
5,J02,201305,62107
5,J02,201306,49075
5,J02,201307,46257
5,J02,201308,44428
5,J02,201309,62100
5,J02,201310,69313
5,J02,201311,71071
5,J02,201312,66174
