RVSN_Group,merged_symptom,MDCARE_YM,COUNT
5,J04,200401,28040
5,J04,200402,27163
5,J04,200403,41743
5,J04,200404,37886
5,J04,200405,29445
5,J04,200406,23917
5,J04,200407,18705
5,J04,200408,17418
5,J04,200409,27491
5,J04,200410,35418
5,J04,200411,33778
5,J04,200412,37198
5,J04,200501,30079
5,J04,200502,26949
5,J04,200503,38419
5,J04,200504,43726
5,J04,200505,38310
5,J04,200506,25682
5,J04,200507,20170
5,J04,200508,19605
5,J04,200509,28918
5,J04,200510,40179
5,J04,200511,43800
5,J04,200512,58346
5,J04,200601,41978
5,J04,200602,34868
5,J04,200603,38870
5,J04,200604,45233
5,J04,200605,38906
5,J04,200606,26881
5,J04,200607,19815
5,J04,200608,18340
5,J04,200609,31855
5,J04,200610,29820
5,J04,200611,36916
5,J04,200612,41109
5,J04,200701,43245
5,J04,200702,30477
5,J04,200703,34042
5,J04,200704,38982
5,J04,200705,34046
5,J04,200706,33251
5,J04,200707,30890
5,J04,200708,27337
5,J04,200709,44005
5,J04,200710,55573
5,J04,200711,61251
5,J04,200712,68075
5,J04,200801,66843
5,J04,200802,67154
5,J04,200803,65477
5,J04,200804,64247
5,J04,200805,56082
5,J04,200806,44059
5,J04,200807,29929
5,J04,200808,27083
5,J04,200809,39760
5,J04,200810,52971
5,J04,200811,55514
5,J04,200812,81219
5,J04,200901,70167
5,J04,200902,43759
5,J04,200903,55550
5,J04,200904,72661
5,J04,200905,55058
5,J04,200906,42324
5,J04,200907,33159
5,J04,200908,37338
5,J04,200909,60642
5,J04,200910,76948
5,J04,200911,78076
5,J04,200912,70140
5,J04,201001,58913
5,J04,201002,50632
5,J04,201003,65695
5,J04,201004,85527
5,J04,201005,72638
5,J04,201006,52513
5,J04,201007,39227
5,J04,201008,32370
5,J04,201009,56334
5,J04,201010,73181
5,J04,201011,77368
5,J04,201012,88952
5,J04,201101,70506
5,J04,201102,51561
5,J04,201103,69773
5,J04,201104,72950
5,J04,201105,64158
5,J04,201106,49407
5,J04,201107,37425
5,J04,201108,38531
5,J04,201109,60185
5,J04,201110,65045
5,J04,201111,68841
5,J04,201112,81624
5,J04,201201,73538
5,J04,201202,78005
5,J04,201203,77259
5,J04,201204,78413
5,J04,201205,69981
5,J04,201206,46682
5,J04,201207,35387
5,J04,201208,34572
5,J04,201209,57228
5,J04,201210,70951
5,J04,201211,68472
5,J04,201212,60925
5,J04,201301,64068
5,J04,201302,71122
5,J04,201303,76715
5,J04,201304,74359
5,J04,201305,60142
5,J04,201306,41980
5,J04,201307,35932
5,J04,201308,35645
5,J04,201309,57095
5,J04,201310,67919
5,J04,201311,71897
5,J04,201312,67186
