RVSN_Group,merged_symptom,MDCARE_YM,COUNT
3,J00,200401,19884
3,J00,200402,18505
3,J00,200403,26076
3,J00,200404,22689
3,J00,200405,18766
3,J00,200406,14263
3,J00,200407,11605
3,J00,200408,10862
3,J00,200409,18383
3,J00,200410,22393
3,J00,200411,21545
3,J00,200412,22921
3,J00,200501,18913
3,J00,200502,14788
3,J00,200503,20726
3,J00,200504,23291
3,J00,200505,21676
3,J00,200506,14226
3,J00,200507,11457
3,J00,200508,11164
3,J00,200509,17521
3,J00,200510,23223
3,J00,200511,22439
3,J00,200512,31015
3,J00,200601,24271
3,J00,200602,20160
3,J00,200603,24390
3,J00,200604,26751
3,J00,200605,22106
3,J00,200606,15699
3,J00,200607,12550
3,J00,200608,12049
3,J00,200609,21289
3,J00,200610,20367
3,J00,200611,23826
3,J00,200612,25825
3,J00,200701,28075
3,J00,200702,18149
3,J00,200703,21018
3,J00,200704,23049
3,J00,200705,18994
3,J00,200706,17317
3,J00,200707,17194
3,J00,200708,15244
3,J00,200709,27306
3,J00,200710,31549
3,J00,200711,33701
3,J00,200712,34656
3,J00,200801,33219
3,J00,200802,36540
3,J00,200803,35856
3,J00,200804,31296
3,J00,200805,26587
3,J00,200806,21177
3,J00,200807,16479
3,J00,200808,14899
3,J00,200809,22693
3,J00,200810,29155
3,J00,200811,27924
3,J00,200812,36695
3,J00,200901,34095
3,J00,200902,22098
3,J00,200903,28162
3,J00,200904,32840
3,J00,200905,26383
3,J00,200906,20845
3,J00,200907,16949
3,J00,200908,19689
3,J00,200909,34385
3,J00,200910,42830
3,J00,200911,38691
3,J00,200912,34047
3,J00,201001,30195
3,J00,201002,25586
3,J00,201003,32083
3,J00,201004,37303
3,J00,201005,29161
3,J00,201006,22308
3,J00,201007,17269
3,J00,201008,15025
3,J00,201009,26957
3,J00,201010,33947
3,J00,201011,33387
3,J00,201012,37530
3,J00,201101,32058
3,J00,201102,25304
3,J00,201103,34126
3,J00,201104,31986
3,J00,201105,28756
3,J00,201106,21650
3,J00,201107,17426
3,J00,201108,18318
3,J00,201109,29917
3,J00,201110,32664
3,J00,201111,31250
3,J00,201112,39334
3,J00,201201,36725
3,J00,201202,33350
3,J00,201203,37986
3,J00,201204,35572
3,J00,201205,30876
3,J00,201206,23253
3,J00,201207,20277
3,J00,201208,19602
3,J00,201209,34052
3,J00,201210,38494
3,J00,201211,39325
3,J00,201212,34931
3,J00,201301,37655
3,J00,201302,37495
3,J00,201303,41575
3,J00,201304,40466
3,J00,201305,33756
3,J00,201306,25396
3,J00,201307,22412
3,J00,201308,22304
3,J00,201309,35842
3,J00,201310,37385
3,J00,201311,37713
3,J00,201312,33828
