CTRB_Group,merged_symptom,MDCARE_YM,COUNT
1,J00,200401,9730
1,J00,200402,8496
1,J00,200403,12230
1,J00,200404,10759
1,J00,200405,8329
1,J00,200406,6494
1,J00,200407,5058
1,J00,200408,5149
1,J00,200409,8624
1,J00,200410,11256
1,J00,200411,10421
1,J00,200412,11573
1,J00,200501,12349
1,J00,200502,9321
1,J00,200503,13181
1,J00,200504,14706
1,J00,200505,12553
1,J00,200506,8177
1,J00,200507,6474
1,J00,200508,6396
1,J00,200509,9499
1,J00,200510,14505
1,J00,200511,15313
1,J00,200512,28339
1,J00,200601,25191
1,J00,200602,20942
1,J00,200603,24878
1,J00,200604,25106
1,J00,200605,21065
1,J00,200606,15135
1,J00,200607,11486
1,J00,200608,10941
1,J00,200609,19194
1,J00,200610,19031
1,J00,200611,22052
1,J00,200612,25097
1,J00,200701,24606
1,J00,200702,16967
1,J00,200703,18638
1,J00,200704,20357
1,J00,200705,16815
1,J00,200706,15731
1,J00,200707,14960
1,J00,200708,13211
1,J00,200709,22721
1,J00,200710,28197
1,J00,200711,29708
1,J00,200712,33297
1,J00,200801,31072
1,J00,200802,31143
1,J00,200803,29977
1,J00,200804,25873
1,J00,200805,22577
1,J00,200806,17829
1,J00,200807,13175
1,J00,200808,12453
1,J00,200809,18240
1,J00,200810,24407
1,J00,200811,24259
1,J00,200812,33695
1,J00,200901,30333
1,J00,200902,19786
1,J00,200903,24781
1,J00,200904,29391
1,J00,200905,23535
1,J00,200906,17614
1,J00,200907,14295
1,J00,200908,16048
1,J00,200909,28027
1,J00,200910,34045
1,J00,200911,35033
1,J00,200912,30789
1,J00,201001,29243
1,J00,201002,24021
1,J00,201003,29780
1,J00,201004,34266
1,J00,201005,26492
1,J00,201006,19830
1,J00,201007,15174
1,J00,201008,13329
1,J00,201009,23123
1,J00,201010,29800
1,J00,201011,29685
1,J00,201012,34140
1,J00,201101,29098
1,J00,201102,21718
1,J00,201103,29086
1,J00,201104,26675
1,J00,201105,22564
1,J00,201106,17571
1,J00,201107,14038
1,J00,201108,14658
1,J00,201109,22632
1,J00,201110,25909
1,J00,201111,26310
1,J00,201112,32383
1,J00,201201,31552
1,J00,201202,31298
1,J00,201203,31849
1,J00,201204,28933
1,J00,201205,23796
1,J00,201206,16359
1,J00,201207,14981
1,J00,201208,14187
1,J00,201209,22907
1,J00,201210,28575
1,J00,201211,28307
1,J00,201212,26650
1,J00,201301,29765
1,J00,201302,28169
1,J00,201303,30734
1,J00,201304,29290
1,J00,201305,23616
1,J00,201306,17432
1,J00,201307,15199
1,J00,201308,14976
1,J00,201309,22265
1,J00,201310,26530
1,J00,201311,27884
1,J00,201312,26476
