CTRB_Group,merged_symptom,MDCARE_YM,COUNT
3,J02,200401,59857
3,J02,200402,56858
3,J02,200403,88522
3,J02,200404,80408
3,J02,200405,69158
3,J02,200406,59112
3,J02,200407,51334
3,J02,200408,45746
3,J02,200409,67757
3,J02,200410,74922
3,J02,200411,71275
3,J02,200412,76912
3,J02,200501,59662
3,J02,200502,47855
3,J02,200503,70663
3,J02,200504,85793
3,J02,200505,81048
3,J02,200506,59645
3,J02,200507,51529
3,J02,200508,47162
3,J02,200509,64317
3,J02,200510,76347
3,J02,200511,76088
3,J02,200512,99254
3,J02,200601,67892
3,J02,200602,54983
3,J02,200603,66930
3,J02,200604,79698
3,J02,200605,69861
3,J02,200606,53047
3,J02,200607,44011
3,J02,200608,40074
3,J02,200609,62905
3,J02,200610,55013
3,J02,200611,65830
3,J02,200612,70757
3,J02,200701,68745
3,J02,200702,48953
3,J02,200703,57235
3,J02,200704,68051
3,J02,200705,60592
3,J02,200706,61987
3,J02,200707,64042
3,J02,200708,54596
3,J02,200709,84307
3,J02,200710,91700
3,J02,200711,96575
3,J02,200712,103412
3,J02,200801,90135
3,J02,200802,97781
3,J02,200803,95899
3,J02,200804,94531
3,J02,200805,87504
3,J02,200806,76933
3,J02,200807,63876
3,J02,200808,53266
3,J02,200809,72687
3,J02,200810,85707
3,J02,200811,86252
3,J02,200812,119402
3,J02,200901,90353
3,J02,200902,63514
3,J02,200903,85618
3,J02,200904,107576
3,J02,200905,86352
3,J02,200906,73924
3,J02,200907,66715
3,J02,200908,70914
3,J02,200909,112253
3,J02,200910,127086
3,J02,200911,128834
3,J02,200912,104211
3,J02,201001,78759
3,J02,201002,70349
3,J02,201003,99689
3,J02,201004,126928
3,J02,201005,103634
3,J02,201006,84958
3,J02,201007,72077
3,J02,201008,61676
3,J02,201009,96270
3,J02,201010,107215
3,J02,201011,104315
3,J02,201012,119034
3,J02,201101,91641
3,J02,201102,72820
3,J02,201103,100411
3,J02,201104,98699
3,J02,201105,95422
3,J02,201106,79204
3,J02,201107,69392
3,J02,201108,69855
3,J02,201109,97644
3,J02,201110,103196
3,J02,201111,98769
3,J02,201112,114641
3,J02,201201,107049
3,J02,201202,110956
3,J02,201203,124707
3,J02,201204,117358
3,J02,201205,105500
3,J02,201206,82839
3,J02,201207,74271
3,J02,201208,67114
3,J02,201209,99047
3,J02,201210,104426
3,J02,201211,103668
3,J02,201212,92844
3,J02,201301,96489
3,J02,201302,99584
3,J02,201303,112402
3,J02,201304,112044
3,J02,201305,98690
3,J02,201306,84755
3,J02,201307,80943
3,J02,201308,75514
3,J02,201309,99733
3,J02,201310,103529
3,J02,201311,105355
3,J02,201312,98396
