CTRB_Group,merged_symptom,MDCARE_YM,COUNT
4,J05,200401,886
4,J05,200402,910
4,J05,200403,1558
4,J05,200404,1341
4,J05,200405,1090
4,J05,200406,899
4,J05,200407,829
4,J05,200408,649
4,J05,200409,951
4,J05,200410,1060
4,J05,200411,1036
4,J05,200412,1044
4,J05,200501,908
4,J05,200502,679
4,J05,200503,1091
4,J05,200504,1566
4,J05,200505,1356
4,J05,200506,857
4,J05,200507,712
4,J05,200508,635
4,J05,200509,1097
4,J05,200510,1157
4,J05,200511,1152
4,J05,200512,1440
4,J05,200601,960
4,J05,200602,793
4,J05,200603,1018
4,J05,200604,1308
4,J05,200605,1247
4,J05,200606,910
4,J05,200607,741
4,J05,200608,715
4,J05,200609,1029
4,J05,200610,873
4,J05,200611,1131
4,J05,200612,1139
4,J05,200701,1164
4,J05,200702,863
4,J05,200703,998
4,J05,200704,1419
4,J05,200705,1232
4,J05,200706,1367
4,J05,200707,1343
4,J05,200708,1114
4,J05,200709,1883
4,J05,200710,1978
4,J05,200711,1830
4,J05,200712,2137
4,J05,200801,1781
4,J05,200802,2056
4,J05,200803,2052
4,J05,200804,2035
4,J05,200805,1941
4,J05,200806,1545
4,J05,200807,1056
4,J05,200808,965
4,J05,200809,1513
4,J05,200810,1902
4,J05,200811,1982
4,J05,200812,2595
4,J05,200901,1877
4,J05,200902,1277
4,J05,200903,1695
4,J05,200904,2141
4,J05,200905,1798
4,J05,200906,1474
4,J05,200907,1307
4,J05,200908,1259
4,J05,200909,1814
4,J05,200910,1959
4,J05,200911,1838
4,J05,200912,1634
4,J05,201001,1453
4,J05,201002,1452
4,J05,201003,2271
4,J05,201004,3066
4,J05,201005,2697
4,J05,201006,2127
4,J05,201007,1778
4,J05,201008,1383
4,J05,201009,1911
4,J05,201010,2391
4,J05,201011,2318
4,J05,201012,2337
4,J05,201101,1695
4,J05,201102,1197
4,J05,201103,1828
4,J05,201104,2009
4,J05,201105,2332
4,J05,201106,1765
4,J05,201107,1452
4,J05,201108,1498
4,J05,201109,1822
4,J05,201110,2081
4,J05,201111,2116
4,J05,201112,2331
4,J05,201201,2078
4,J05,201202,2107
4,J05,201203,2562
4,J05,201204,2762
4,J05,201205,2523
4,J05,201206,1521
4,J05,201207,1832
4,J05,201208,1986
4,J05,201209,2151
4,J05,201210,2000
4,J05,201211,2057
4,J05,201212,1668
4,J05,201301,1966
4,J05,201302,2426
4,J05,201303,2821
4,J05,201304,2529
4,J05,201305,2292
4,J05,201306,1837
4,J05,201307,1763
4,J05,201308,1872
4,J05,201309,2211
4,J05,201310,2219
4,J05,201311,2059
4,J05,201312,1880
