CTRB_Group,merged_symptom,MDCARE_YM,COUNT
4,J00,200401,43463
4,J00,200402,39349
4,J00,200403,59116
4,J00,200404,51523
4,J00,200405,40540
4,J00,200406,31685
4,J00,200407,24763
4,J00,200408,24020
4,J00,200409,40659
4,J00,200410,48751
4,J00,200411,46877
4,J00,200412,50485
4,J00,200501,42383
4,J00,200502,33050
4,J00,200503,47324
4,J00,200504,54337
4,J00,200505,47273
4,J00,200506,31361
4,J00,200507,25298
4,J00,200508,24212
4,J00,200509,35851
4,J00,200510,48964
4,J00,200511,50769
4,J00,200512,66374
4,J00,200601,48363
4,J00,200602,40535
4,J00,200603,49536
4,J00,200604,52709
4,J00,200605,42971
4,J00,200606,31395
4,J00,200607,24281
4,J00,200608,22275
4,J00,200609,41243
4,J00,200610,37693
4,J00,200611,47386
4,J00,200612,51276
4,J00,200701,54342
4,J00,200702,37143
4,J00,200703,42514
4,J00,200704,47119
4,J00,200705,38727
4,J00,200706,35414
4,J00,200707,34625
4,J00,200708,29462
4,J00,200709,52673
4,J00,200710,61618
4,J00,200711,68370
4,J00,200712,74463
4,J00,200801,68939
4,J00,200802,72364
4,J00,200803,69059
4,J00,200804,61815
4,J00,200805,53407
4,J00,200806,42780
4,J00,200807,32615
4,J00,200808,28896
4,J00,200809,43716
4,J00,200810,55851
4,J00,200811,57029
4,J00,200812,79729
4,J00,200901,66314
4,J00,200902,43591
4,J00,200903,57170
4,J00,200904,70528
4,J00,200905,54054
4,J00,200906,42179
4,J00,200907,35209
4,J00,200908,39826
4,J00,200909,67599
4,J00,200910,81842
4,J00,200911,83128
4,J00,200912,70379
4,J00,201001,64281
4,J00,201002,55637
4,J00,201003,71797
4,J00,201004,82833
4,J00,201005,65247
4,J00,201006,49358
4,J00,201007,39313
4,J00,201008,33415
4,J00,201009,58229
4,J00,201010,72272
4,J00,201011,72098
4,J00,201012,82909
4,J00,201101,70702
4,J00,201102,55474
4,J00,201103,76530
4,J00,201104,70363
4,J00,201105,62336
4,J00,201106,48877
4,J00,201107,39963
4,J00,201108,42147
4,J00,201109,64138
4,J00,201110,71297
4,J00,201111,70797
4,J00,201112,84499
4,J00,201201,83221
4,J00,201202,83316
4,J00,201203,90263
4,J00,201204,83146
4,J00,201205,72510
4,J00,201206,54733
4,J00,201207,47917
4,J00,201208,44757
4,J00,201209,75454
4,J00,201210,84233
4,J00,201211,85735
4,J00,201212,76981
4,J00,201301,85779
4,J00,201302,85956
4,J00,201303,96381
4,J00,201304,94841
4,J00,201305,77422
4,J00,201306,58858
4,J00,201307,52582
4,J00,201308,51028
4,J00,201309,76962
4,J00,201310,83829
4,J00,201311,87317
4,J00,201312,81749
