CTRB_Group,merged_symptom,MDCARE_YM,COUNT
3,J04,200401,38064
3,J04,200402,35981
3,J04,200403,57415
3,J04,200404,54643
3,J04,200405,45861
3,J04,200406,36613
3,J04,200407,29282
3,J04,200408,25848
3,J04,200409,41192
3,J04,200410,50506
3,J04,200411,49764
3,J04,200412,53342
3,J04,200501,42418
3,J04,200502,34310
3,J04,200503,50896
3,J04,200504,63302
3,J04,200505,57633
3,J04,200506,39181
3,J04,200507,31033
3,J04,200508,29591
3,J04,200509,43566
3,J04,200510,58371
3,J04,200511,59933
3,J04,200512,75889
3,J04,200601,53786
3,J04,200602,42144
3,J04,200603,51261
3,J04,200604,60819
3,J04,200605,52855
3,J04,200606,37334
3,J04,200607,27883
3,J04,200608,26377
3,J04,200609,45641
3,J04,200610,42438
3,J04,200611,53069
3,J04,200612,58168
3,J04,200701,56845
3,J04,200702,38905
3,J04,200703,45395
3,J04,200704,56180
3,J04,200705,48581
3,J04,200706,48604
3,J04,200707,46000
3,J04,200708,41665
3,J04,200709,69442
3,J04,200710,83320
3,J04,200711,92234
3,J04,200712,98196
3,J04,200801,84392
3,J04,200802,88186
3,J04,200803,89167
3,J04,200804,88372
3,J04,200805,79434
3,J04,200806,62580
3,J04,200807,45281
3,J04,200808,40067
3,J04,200809,60917
3,J04,200810,78376
3,J04,200811,83264
3,J04,200812,115137
3,J04,200901,88409
3,J04,200902,61473
3,J04,200903,81956
3,J04,200904,103704
3,J04,200905,80526
3,J04,200906,63253
3,J04,200907,50768
3,J04,200908,55479
3,J04,200909,94242
3,J04,200910,109371
3,J04,200911,108993
3,J04,200912,97866
3,J04,201001,75802
3,J04,201002,66160
3,J04,201003,92928
3,J04,201004,119161
3,J04,201005,99083
3,J04,201006,76314
3,J04,201007,58285
3,J04,201008,48060
3,J04,201009,81180
3,J04,201010,104657
3,J04,201011,108322
3,J04,201012,120906
3,J04,201101,92916
3,J04,201102,71139
3,J04,201103,97041
3,J04,201104,98015
3,J04,201105,91920
3,J04,201106,69270
3,J04,201107,54556
3,J04,201108,57027
3,J04,201109,87320
3,J04,201110,99842
3,J04,201111,99227
3,J04,201112,111488
3,J04,201201,99145
3,J04,201202,102490
3,J04,201203,110725
3,J04,201204,110481
3,J04,201205,98907
3,J04,201206,66560
3,J04,201207,54076
3,J04,201208,53203
3,J04,201209,90606
3,J04,201210,102228
3,J04,201211,103565
3,J04,201212,92776
3,J04,201301,96143
3,J04,201302,97938
3,J04,201303,111497
3,J04,201304,113467
3,J04,201305,95672
3,J04,201306,68896
3,J04,201307,59700
3,J04,201308,60464
3,J04,201309,92351
3,J04,201310,103685
3,J04,201311,109029
3,J04,201312,101164
