CTRB_Group,merged_symptom,MDCARE_YM,COUNT
3,J05,200401,1412
3,J05,200402,1408
3,J05,200403,2439
3,J05,200404,2130
3,J05,200405,1767
3,J05,200406,1454
3,J05,200407,1299
3,J05,200408,994
3,J05,200409,1418
3,J05,200410,1753
3,J05,200411,1727
3,J05,200412,1777
3,J05,200501,1361
3,J05,200502,1082
3,J05,200503,1756
3,J05,200504,2368
3,J05,200505,2081
3,J05,200506,1388
3,J05,200507,1100
3,J05,200508,940
3,J05,200509,1624
3,J05,200510,1951
3,J05,200511,1850
3,J05,200512,2244
3,J05,200601,1594
3,J05,200602,1343
3,J05,200603,1590
3,J05,200604,2056
3,J05,200605,1985
3,J05,200606,1517
3,J05,200607,1186
3,J05,200608,1290
3,J05,200609,1794
3,J05,200610,1515
3,J05,200611,1768
3,J05,200612,1983
3,J05,200701,1737
3,J05,200702,1223
3,J05,200703,1463
3,J05,200704,2058
3,J05,200705,1862
3,J05,200706,2293
3,J05,200707,2229
3,J05,200708,1793
3,J05,200709,2966
3,J05,200710,3171
3,J05,200711,2896
3,J05,200712,3198
3,J05,200801,2568
3,J05,200802,2934
3,J05,200803,2953
3,J05,200804,3059
3,J05,200805,2859
3,J05,200806,2425
3,J05,200807,1548
3,J05,200808,1473
3,J05,200809,2462
3,J05,200810,3152
3,J05,200811,3003
3,J05,200812,4079
3,J05,200901,2888
3,J05,200902,2089
3,J05,200903,2723
3,J05,200904,3416
3,J05,200905,2760
3,J05,200906,2341
3,J05,200907,1891
3,J05,200908,1904
3,J05,200909,2643
3,J05,200910,3061
3,J05,200911,2724
3,J05,200912,2625
3,J05,201001,2055
3,J05,201002,1791
3,J05,201003,2903
3,J05,201004,4320
3,J05,201005,3553
3,J05,201006,2858
3,J05,201007,2406
3,J05,201008,1885
3,J05,201009,2669
3,J05,201010,3445
3,J05,201011,3159
3,J05,201012,2942
3,J05,201101,2156
3,J05,201102,1715
3,J05,201103,2180
3,J05,201104,2574
3,J05,201105,3055
3,J05,201106,2338
3,J05,201107,2049
3,J05,201108,2157
3,J05,201109,2471
3,J05,201110,2902
3,J05,201111,2967
3,J05,201112,3214
3,J05,201201,2813
3,J05,201202,2870
3,J05,201203,3390
3,J05,201204,3638
3,J05,201205,3391
3,J05,201206,2164
3,J05,201207,2889
3,J05,201208,2995
3,J05,201209,2838
3,J05,201210,2888
3,J05,201211,2976
3,J05,201212,2307
3,J05,201301,2595
3,J05,201302,3185
3,J05,201303,3453
3,J05,201304,2982
3,J05,201305,2746
3,J05,201306,2391
3,J05,201307,2300
3,J05,201308,2660
3,J05,201309,2798
3,J05,201310,2886
3,J05,201311,2831
3,J05,201312,2488
