CTRB_Group,merged_symptom,MDCARE_YM,COUNT
2,J04,200401,30557
2,J04,200402,27645
2,J04,200403,44187
2,J04,200404,41440
2,J04,200405,34260
2,J04,200406,27946
2,J04,200407,22180
2,J04,200408,20268
2,J04,200409,30777
2,J04,200410,38979
2,J04,200411,38293
2,J04,200412,41587
2,J04,200501,33408
2,J04,200502,25738
2,J04,200503,37822
2,J04,200504,46658
2,J04,200505,42254
2,J04,200506,28903
2,J04,200507,22893
2,J04,200508,21798
2,J04,200509,31712
2,J04,200510,43359
2,J04,200511,44183
2,J04,200512,56904
2,J04,200601,44051
2,J04,200602,33624
2,J04,200603,40442
2,J04,200604,46279
2,J04,200605,40815
2,J04,200606,29265
2,J04,200607,21399
2,J04,200608,20456
2,J04,200609,34406
2,J04,200610,33156
2,J04,200611,41673
2,J04,200612,46306
2,J04,200701,47139
2,J04,200702,30079
2,J04,200703,34946
2,J04,200704,42653
2,J04,200705,37083
2,J04,200706,36190
2,J04,200707,33542
2,J04,200708,31029
2,J04,200709,51196
2,J04,200710,62515
2,J04,200711,67561
2,J04,200712,73725
2,J04,200801,68361
2,J04,200802,69294
2,J04,200803,69253
2,J04,200804,66020
2,J04,200805,59572
2,J04,200806,47079
2,J04,200807,35276
2,J04,200808,30924
2,J04,200809,46647
2,J04,200810,60697
2,J04,200811,63252
2,J04,200812,88841
2,J04,200901,73185
2,J04,200902,47715
2,J04,200903,61789
2,J04,200904,79113
2,J04,200905,62337
2,J04,200906,48751
2,J04,200907,39277
2,J04,200908,43641
2,J04,200909,73476
2,J04,200910,85722
2,J04,200911,89824
2,J04,200912,79170
2,J04,201001,61258
2,J04,201002,51617
2,J04,201003,70025
2,J04,201004,90079
2,J04,201005,75550
2,J04,201006,57385
2,J04,201007,44099
2,J04,201008,36960
2,J04,201009,62676
2,J04,201010,80436
2,J04,201011,81107
2,J04,201012,94710
2,J04,201101,78347
2,J04,201102,58030
2,J04,201103,76206
2,J04,201104,77164
2,J04,201105,71073
2,J04,201106,54511
2,J04,201107,41669
2,J04,201108,44390
2,J04,201109,68585
2,J04,201110,78044
2,J04,201111,78527
2,J04,201112,88658
2,J04,201201,83315
2,J04,201202,85465
2,J04,201203,90693
2,J04,201204,89084
2,J04,201205,80136
2,J04,201206,54038
2,J04,201207,42631
2,J04,201208,41825
2,J04,201209,70108
2,J04,201210,82335
2,J04,201211,81685
2,J04,201212,74858
2,J04,201301,81532
2,J04,201302,79229
2,J04,201303,90848
2,J04,201304,91791
2,J04,201305,76380
2,J04,201306,54015
2,J04,201307,46309
2,J04,201308,46813
2,J04,201309,72692
2,J04,201310,83070
2,J04,201311,88628
2,J04,201312,81616
