CTRB_Group,merged_symptom,MDCARE_YM,COUNT
1,J04,200401,6056
1,J04,200402,5549
1,J04,200403,8632
1,J04,200404,8002
1,J04,200405,6401
1,J04,200406,5513
1,J04,200407,4025
1,J04,200408,3778
1,J04,200409,5661
1,J04,200410,7550
1,J04,200411,7456
1,J04,200412,8040
1,J04,200501,9011
1,J04,200502,7115
1,J04,200503,10166
1,J04,200504,12641
1,J04,200505,11505
1,J04,200506,7828
1,J04,200507,6018
1,J04,200508,5620
1,J04,200509,8234
1,J04,200510,11515
1,J04,200511,12323
1,J04,200512,21159
1,J04,200601,18500
1,J04,200602,14448
1,J04,200603,17047
1,J04,200604,19217
1,J04,200605,16742
1,J04,200606,12031
1,J04,200607,8836
1,J04,200608,8229
1,J04,200609,13714
1,J04,200610,13360
1,J04,200611,15807
1,J04,200612,18661
1,J04,200701,18325
1,J04,200702,12478
1,J04,200703,13790
1,J04,200704,16651
1,J04,200705,14381
1,J04,200706,14002
1,J04,200707,13421
1,J04,200708,12080
1,J04,200709,19874
1,J04,200710,24413
1,J04,200711,25490
1,J04,200712,29125
1,J04,200801,26463
1,J04,200802,27737
1,J04,200803,27912
1,J04,200804,25163
1,J04,200805,22445
1,J04,200806,18071
1,J04,200807,13393
1,J04,200808,12343
1,J04,200809,17621
1,J04,200810,22594
1,J04,200811,22447
1,J04,200812,32372
1,J04,200901,27916
1,J04,200902,18602
1,J04,200903,24096
1,J04,200904,30190
1,J04,200905,23123
1,J04,200906,18377
1,J04,200907,14675
1,J04,200908,15997
1,J04,200909,26736
1,J04,200910,31385
1,J04,200911,32143
1,J04,200912,28298
1,J04,201001,26153
1,J04,201002,21949
1,J04,201003,30132
1,J04,201004,37383
1,J04,201005,30639
1,J04,201006,22766
1,J04,201007,17396
1,J04,201008,15099
1,J04,201009,24986
1,J04,201010,31945
1,J04,201011,32633
1,J04,201012,36663
1,J04,201101,29770
1,J04,201102,21965
1,J04,201103,29143
1,J04,201104,28721
1,J04,201105,25794
1,J04,201106,19866
1,J04,201107,15114
1,J04,201108,15945
1,J04,201109,24526
1,J04,201110,28147
1,J04,201111,28211
1,J04,201112,32106
1,J04,201201,30311
1,J04,201202,31186
1,J04,201203,33051
1,J04,201204,32707
1,J04,201205,27811
1,J04,201206,18511
1,J04,201207,15162
1,J04,201208,14795
1,J04,201209,24410
1,J04,201210,28700
1,J04,201211,29289
1,J04,201212,26452
1,J04,201301,29064
1,J04,201302,27864
1,J04,201303,31964
1,J04,201304,32426
1,J04,201305,26474
1,J04,201306,18731
1,J04,201307,15871
1,J04,201308,16043
1,J04,201309,23821
1,J04,201310,28086
1,J04,201311,29592
1,J04,201312,28180
