CTRB_Group,merged_symptom,MDCARE_YM,COUNT
1,J06,200401,11263
1,J06,200402,9927
1,J06,200403,15256
1,J06,200404,13498
1,J06,200405,10432
1,J06,200406,8443
1,J06,200407,6562
1,J06,200408,6672
1,J06,200409,10653
1,J06,200410,13865
1,J06,200411,12707
1,J06,200412,14074
1,J06,200501,15572
1,J06,200502,12031
1,J06,200503,16524
1,J06,200504,19378
1,J06,200505,16935
1,J06,200506,11360
1,J06,200507,8793
1,J06,200508,8591
1,J06,200509,12791
1,J06,200510,18164
1,J06,200511,19061
1,J06,200512,34872
1,J06,200601,30959
1,J06,200602,24712
1,J06,200603,29328
1,J06,200604,31587
1,J06,200605,26859
1,J06,200606,19290
1,J06,200607,15036
1,J06,200608,13675
1,J06,200609,24084
1,J06,200610,23486
1,J06,200611,27197
1,J06,200612,31904
1,J06,200701,31382
1,J06,200702,21879
1,J06,200703,24838
1,J06,200704,28242
1,J06,200705,23364
1,J06,200706,22019
1,J06,200707,21093
1,J06,200708,18597
1,J06,200709,31902
1,J06,200710,39074
1,J06,200711,40568
1,J06,200712,45830
1,J06,200801,42556
1,J06,200802,44339
1,J06,200803,42685
1,J06,200804,37399
1,J06,200805,32943
1,J06,200806,26471
1,J06,200807,20209
1,J06,200808,18507
1,J06,200809,26994
1,J06,200810,34955
1,J06,200811,34204
1,J06,200812,49331
1,J06,200901,43435
1,J06,200902,27682
1,J06,200903,35727
1,J06,200904,43037
1,J06,200905,33943
1,J06,200906,26451
1,J06,200907,21127
1,J06,200908,24233
1,J06,200909,41716
1,J06,200910,51282
1,J06,200911,53195
1,J06,200912,44270
1,J06,201001,40208
1,J06,201002,33061
1,J06,201003,43202
1,J06,201004,52116
1,J06,201005,40633
1,J06,201006,30801
1,J06,201007,24155
1,J06,201008,20344
1,J06,201009,35090
1,J06,201010,44284
1,J06,201011,44360
1,J06,201012,51569
1,J06,201101,42678
1,J06,201102,32001
1,J06,201103,42557
1,J06,201104,39101
1,J06,201105,34403
1,J06,201106,26516
1,J06,201107,21064
1,J06,201108,21976
1,J06,201109,33187
1,J06,201110,38118
1,J06,201111,37902
1,J06,201112,45448
1,J06,201201,43964
1,J06,201202,44823
1,J06,201203,47202
1,J06,201204,42894
1,J06,201205,35270
1,J06,201206,23937
1,J06,201207,21134
1,J06,201208,19862
1,J06,201209,31935
1,J06,201210,38344
1,J06,201211,37902
1,J06,201212,35586
1,J06,201301,39223
1,J06,201302,38199
1,J06,201303,42525
1,J06,201304,41073
1,J06,201305,32912
1,J06,201306,24171
1,J06,201307,21327
1,J06,201308,20954
1,J06,201309,30956
1,J06,201310,35897
1,J06,201311,38312
1,J06,201312,35850
