CTRB_Group,merged_symptom,MDCARE_YM,COUNT
4,J06,200401,52446
4,J06,200402,48737
4,J06,200403,77144
4,J06,200404,67922
4,J06,200405,54672
4,J06,200406,42912
4,J06,200407,34690
4,J06,200408,32377
4,J06,200409,53459
4,J06,200410,61995
4,J06,200411,59954
4,J06,200412,65104
4,J06,200501,54542
4,J06,200502,42763
4,J06,200503,61923
4,J06,200504,73231
4,J06,200505,66011
4,J06,200506,44859
4,J06,200507,36417
4,J06,200508,33681
4,J06,200509,49139
4,J06,200510,64463
4,J06,200511,66853
4,J06,200512,86492
4,J06,200601,61857
4,J06,200602,50116
4,J06,200603,62009
4,J06,200604,71055
4,J06,200605,57997
4,J06,200606,42709
4,J06,200607,32955
4,J06,200608,29851
4,J06,200609,53373
4,J06,200610,48465
4,J06,200611,61039
4,J06,200612,67481
4,J06,200701,71842
4,J06,200702,49912
4,J06,200703,58562
4,J06,200704,68602
4,J06,200705,57443
4,J06,200706,53080
4,J06,200707,52960
4,J06,200708,45249
4,J06,200709,78343
4,J06,200710,89556
4,J06,200711,97688
4,J06,200712,107764
4,J06,200801,99162
4,J06,200802,107057
4,J06,200803,105088
4,J06,200804,96625
4,J06,200805,85014
4,J06,200806,69534
4,J06,200807,52596
4,J06,200808,45742
4,J06,200809,67753
4,J06,200810,84558
4,J06,200811,88479
4,J06,200812,127123
4,J06,200901,102142
4,J06,200902,66800
4,J06,200903,90417
4,J06,200904,114249
4,J06,200905,87304
4,J06,200906,69375
4,J06,200907,57888
4,J06,200908,65151
4,J06,200909,110835
4,J06,200910,132151
4,J06,200911,136560
4,J06,200912,111092
4,J06,201001,97946
4,J06,201002,84189
4,J06,201003,116213
4,J06,201004,141146
4,J06,201005,111750
4,J06,201006,85431
4,J06,201007,67917
4,J06,201008,57190
4,J06,201009,96440
4,J06,201010,115958
4,J06,201011,116647
4,J06,201012,136399
4,J06,201101,112522
4,J06,201102,86066
4,J06,201103,117816
4,J06,201104,111795
4,J06,201105,101246
4,J06,201106,79607
4,J06,201107,64600
4,J06,201108,65671
4,J06,201109,101050
4,J06,201110,109626
4,J06,201111,108869
4,J06,201112,126318
4,J06,201201,125694
4,J06,201202,127683
4,J06,201203,140341
4,J06,201204,130683
4,J06,201205,112333
4,J06,201206,79716
4,J06,201207,67006
4,J06,201208,61601
4,J06,201209,102584
4,J06,201210,113803
4,J06,201211,114303
4,J06,201212,104609
4,J06,201301,114430
4,J06,201302,116380
4,J06,201303,130767
4,J06,201304,129518
4,J06,201305,107032
4,J06,201306,80831
4,J06,201307,72637
4,J06,201308,70469
4,J06,201309,104582
4,J06,201310,112115
4,J06,201311,117595
4,J06,201312,110680
