Age_Group,merged_symptom,MDCARE_YM,COUNT
6,J04,200401,9771
6,J04,200402,8571
6,J04,200403,11353
6,J04,200404,11098
6,J04,200405,8692
6,J04,200406,7033
6,J04,200407,5597
6,J04,200408,5211
6,J04,200409,7279
6,J04,200410,10277
6,J04,200411,9591
6,J04,200412,10554
6,J04,200501,11724
6,J04,200502,9711
6,J04,200503,11740
6,J04,200504,13556
6,J04,200505,12625
6,J04,200506,8533
6,J04,200507,6247
6,J04,200508,5883
6,J04,200509,7275
6,J04,200510,10822
6,J04,200511,11990
6,J04,200512,15223
6,J04,200601,16917
6,J04,200602,13870
6,J04,200603,14699
6,J04,200604,14600
6,J04,200605,14018
6,J04,200606,10376
6,J04,200607,7285
6,J04,200608,6653
6,J04,200609,9581
6,J04,200610,11052
6,J04,200611,12924
6,J04,200612,14721
6,J04,200701,18956
6,J04,200702,13619
6,J04,200703,13458
6,J04,200704,15207
6,J04,200705,13915
6,J04,200706,15492
6,J04,200707,14997
6,J04,200708,13140
6,J04,200709,17281
6,J04,200710,22992
6,J04,200711,24925
6,J04,200712,28658
6,J04,200801,32177
6,J04,200802,33380
6,J04,200803,33445
6,J04,200804,28118
6,J04,200805,26557
6,J04,200806,21741
6,J04,200807,15993
6,J04,200808,13826
6,J04,200809,17343
6,J04,200810,22928
6,J04,200811,24676
6,J04,200812,33011
6,J04,200901,37559
6,J04,200902,25917
6,J04,200903,29381
6,J04,200904,35015
6,J04,200905,29758
6,J04,200906,22037
6,J04,200907,17574
6,J04,200908,17920
6,J04,200909,27029
6,J04,200910,30163
6,J04,200911,30926
6,J04,200912,31245
6,J04,201001,34041
6,J04,201002,30225
6,J04,201003,32487
6,J04,201004,37134
6,J04,201005,34781
6,J04,201006,27075
6,J04,201007,20973
6,J04,201008,17800
6,J04,201009,24435
6,J04,201010,34089
6,J04,201011,33684
6,J04,201012,35228
6,J04,201101,40307
6,J04,201102,32226
6,J04,201103,38522
6,J04,201104,35619
6,J04,201105,33117
6,J04,201106,26359
6,J04,201107,20068
6,J04,201108,18616
6,J04,201109,24619
6,J04,201110,29521
6,J04,201111,31944
6,J04,201112,37817
6,J04,201201,45261
6,J04,201202,47648
6,J04,201203,43944
6,J04,201204,41252
6,J04,201205,37440
6,J04,201206,27597
6,J04,201207,21375
6,J04,201208,19866
6,J04,201209,26325
6,J04,201210,35807
6,J04,201211,34559
6,J04,201212,33983
6,J04,201301,44254
6,J04,201302,42294
6,J04,201303,46643
6,J04,201304,44675
6,J04,201305,37668
6,J04,201306,26394
6,J04,201307,23536
6,J04,201308,21523
6,J04,201309,28508
6,J04,201310,35329
6,J04,201311,37731
6,J04,201312,38459
