Age_Group,merged_symptom,MDCARE_YM,COUNT
4,J03,200401,75348
4,J03,200402,67045
4,J03,200403,100360
4,J03,200404,93630
4,J03,200405,77412
4,J03,200406,65364
4,J03,200407,53759
4,J03,200408,52732
4,J03,200409,82003
4,J03,200410,101123
4,J03,200411,90288
4,J03,200412,98587
4,J03,200501,88192
4,J03,200502,68395
4,J03,200503,94419
4,J03,200504,112412
4,J03,200505,101227
4,J03,200506,70548
4,J03,200507,59237
4,J03,200508,57474
4,J03,200509,78489
4,J03,200510,101791
4,J03,200511,100953
4,J03,200512,141639
4,J03,200601,107660
4,J03,200602,77499
4,J03,200603,87419
4,J03,200604,90814
4,J03,200605,86787
4,J03,200606,67260
4,J03,200607,51521
4,J03,200608,49266
4,J03,200609,78011
4,J03,200610,75468
4,J03,200611,89501
4,J03,200612,103743
4,J03,200701,113277
4,J03,200702,70891
4,J03,200703,78225
4,J03,200704,93575
4,J03,200705,82513
4,J03,200706,74370
4,J03,200707,72401
4,J03,200708,66244
4,J03,200709,108738
4,J03,200710,116772
4,J03,200711,125875
4,J03,200712,142986
4,J03,200801,138038
4,J03,200802,149529
4,J03,200803,135337
4,J03,200804,124579
4,J03,200805,113595
4,J03,200806,92026
4,J03,200807,71423
4,J03,200808,65386
4,J03,200809,94937
4,J03,200810,114181
4,J03,200811,115807
4,J03,200812,173781
4,J03,200901,145286
4,J03,200902,85500
4,J03,200903,109597
4,J03,200904,144500
4,J03,200905,115527
4,J03,200906,87549
4,J03,200907,72606
4,J03,200908,80766
4,J03,200909,130924
4,J03,200910,149366
4,J03,200911,157958
4,J03,200912,134805
4,J03,201001,110605
4,J03,201002,92200
4,J03,201003,105886
4,J03,201004,135425
4,J03,201005,123188
4,J03,201006,95725
4,J03,201007,74092
4,J03,201008,64840
4,J03,201009,107978
4,J03,201010,128820
4,J03,201011,120907
4,J03,201012,152253
4,J03,201101,112063
4,J03,201102,83789
4,J03,201103,108338
4,J03,201104,106984
4,J03,201105,98881
4,J03,201106,77705
4,J03,201107,61242
4,J03,201108,63452
4,J03,201109,91774
4,J03,201110,103275
4,J03,201111,105359
4,J03,201112,121633
4,J03,201201,122841
4,J03,201202,117792
4,J03,201203,116689
4,J03,201204,114637
4,J03,201205,99730
4,J03,201206,70613
4,J03,201207,57635
4,J03,201208,56383
4,J03,201209,90071
4,J03,201210,107462
4,J03,201211,98299
4,J03,201212,93904
4,J03,201301,107663
4,J03,201302,108184
4,J03,201303,109164
4,J03,201304,109295
4,J03,201305,92424
4,J03,201306,68155
4,J03,201307,60431
4,J03,201308,61550
4,J03,201309,88485
4,J03,201310,99077
4,J03,201311,102587
4,J03,201312,96184
