Age_Group,merged_symptom,MDCARE_YM,COUNT
1,J01,200401,72198
1,J01,200402,72370
1,J01,200403,95685
1,J01,200404,96044
1,J01,200405,89726
1,J01,200406,74114
1,J01,200407,58964
1,J01,200408,48110
1,J01,200409,78665
1,J01,200410,98690
1,J01,200411,98444
1,J01,200412,98439
1,J01,200501,68283
1,J01,200502,62890
1,J01,200503,92555
1,J01,200504,104164
1,J01,200505,96350
1,J01,200506,68825
1,J01,200507,56543
1,J01,200508,52093
1,J01,200509,84292
1,J01,200510,116083
1,J01,200511,114217
1,J01,200512,123287
1,J01,200601,78725
1,J01,200602,71569
1,J01,200603,81787
1,J01,200604,86063
1,J01,200605,77020
1,J01,200606,59527
1,J01,200607,45600
1,J01,200608,43546
1,J01,200609,79701
1,J01,200610,75381
1,J01,200611,87698
1,J01,200612,84182
1,J01,200701,65714
1,J01,200702,63683
1,J01,200703,78012
1,J01,200704,85760
1,J01,200705,73331
1,J01,200706,87976
1,J01,200707,85294
1,J01,200708,66267
1,J01,200709,118334
1,J01,200710,173183
1,J01,200711,189369
1,J01,200712,177837
1,J01,200801,130983
1,J01,200802,140694
1,J01,200803,159257
1,J01,200804,171254
1,J01,200805,151192
1,J01,200806,114705
1,J01,200807,78325
1,J01,200808,66480
1,J01,200809,107603
1,J01,200810,159581
1,J01,200811,168041
1,J01,200812,195312
1,J01,200901,125407
1,J01,200902,124146
1,J01,200903,166285
1,J01,200904,170778
1,J01,200905,132848
1,J01,200906,102442
1,J01,200907,85927
1,J01,200908,89050
1,J01,200909,145004
1,J01,200910,173765
1,J01,200911,152145
1,J01,200912,160896
1,J01,201001,112008
1,J01,201002,114124
1,J01,201003,177270
1,J01,201004,199106
1,J01,201005,165043
1,J01,201006,129876
1,J01,201007,101088
1,J01,201008,76712
1,J01,201009,123031
1,J01,201010,177577
1,J01,201011,203210
1,J01,201012,191215
1,J01,201101,124511
1,J01,201102,110636
1,J01,201103,160666
1,J01,201104,163019
1,J01,201105,144258
1,J01,201106,108687
1,J01,201107,85677
1,J01,201108,91726
1,J01,201109,133656
1,J01,201110,177043
1,J01,201111,164403
1,J01,201112,185743
1,J01,201201,144923
1,J01,201202,150195
1,J01,201203,177942
1,J01,201204,178259
1,J01,201205,160394
1,J01,201206,105742
1,J01,201207,92478
1,J01,201208,87027
1,J01,201209,153097
1,J01,201210,179127
1,J01,201211,196917
1,J01,201212,167816
1,J01,201301,135156
1,J01,201302,149351
1,J01,201303,179525
1,J01,201304,188935
1,J01,201305,158755
1,J01,201306,117815
1,J01,201307,99066
1,J01,201308,98492
1,J01,201309,147616
1,J01,201310,176936
1,J01,201311,196819
1,J01,201312,176917
