Age_Group,merged_symptom,MDCARE_YM,COUNT
1,J05,200401,1825
1,J05,200402,1968
1,J05,200403,3311
1,J05,200404,2929
1,J05,200405,2483
1,J05,200406,2200
1,J05,200407,1983
1,J05,200408,1361
1,J05,200409,2026
1,J05,200410,2459
1,J05,200411,2441
1,J05,200412,2331
1,J05,200501,1877
1,J05,200502,1541
1,J05,200503,2527
1,J05,200504,3314
1,J05,200505,3025
1,J05,200506,1939
1,J05,200507,1536
1,J05,200508,1257
1,J05,200509,2336
1,J05,200510,2769
1,J05,200511,2734
1,J05,200512,3042
1,J05,200601,2203
1,J05,200602,1906
1,J05,200603,2282
1,J05,200604,2922
1,J05,200605,2990
1,J05,200606,2184
1,J05,200607,1876
1,J05,200608,2063
1,J05,200609,2714
1,J05,200610,2344
1,J05,200611,2666
1,J05,200612,2841
1,J05,200701,2546
1,J05,200702,1847
1,J05,200703,2087
1,J05,200704,3001
1,J05,200705,2894
1,J05,200706,3637
1,J05,200707,3284
1,J05,200708,3000
1,J05,200709,4776
1,J05,200710,5221
1,J05,200711,4559
1,J05,200712,4814
1,J05,200801,3838
1,J05,200802,4295
1,J05,200803,4179
1,J05,200804,4270
1,J05,200805,4638
1,J05,200806,3776
1,J05,200807,2367
1,J05,200808,2175
1,J05,200809,3911
1,J05,200810,5031
1,J05,200811,4856
1,J05,200812,6280
1,J05,200901,4366
1,J05,200902,3072
1,J05,200903,3966
1,J05,200904,4916
1,J05,200905,4353
1,J05,200906,3492
1,J05,200907,2926
1,J05,200908,2805
1,J05,200909,3966
1,J05,200910,4492
1,J05,200911,3857
1,J05,200912,4002
1,J05,201001,3243
1,J05,201002,2973
1,J05,201003,4650
1,J05,201004,6730
1,J05,201005,5947
1,J05,201006,4844
1,J05,201007,4070
1,J05,201008,3216
1,J05,201009,4460
1,J05,201010,5714
1,J05,201011,5193
1,J05,201012,4629
1,J05,201101,3285
1,J05,201102,2539
1,J05,201103,3379
1,J05,201104,4214
1,J05,201105,5308
1,J05,201106,3964
1,J05,201107,3511
1,J05,201108,3584
1,J05,201109,3968
1,J05,201110,4875
1,J05,201111,4904
1,J05,201112,5535
1,J05,201201,4428
1,J05,201202,4343
1,J05,201203,5363
1,J05,201204,6014
1,J05,201205,5714
1,J05,201206,3319
1,J05,201207,5135
1,J05,201208,5366
1,J05,201209,4902
1,J05,201210,4527
1,J05,201211,4798
1,J05,201212,3488
1,J05,201301,3730
1,J05,201302,4942
1,J05,201303,5692
1,J05,201304,4703
1,J05,201305,4648
1,J05,201306,3903
1,J05,201307,4103
1,J05,201308,4566
1,J05,201309,4868
1,J05,201310,4786
1,J05,201311,4384
1,J05,201312,3776
