Age_Group,merged_symptom,MDCARE_YM,COUNT
2,J00,200401,20128
2,J00,200402,20109
2,J00,200403,41499
2,J00,200404,30551
2,J00,200405,23617
2,J00,200406,17070
2,J00,200407,11667
2,J00,200408,12161
2,J00,200409,26876
2,J00,200410,23638
2,J00,200411,26159
2,J00,200412,29247
2,J00,200501,17940
2,J00,200502,13739
2,J00,200503,27247
2,J00,200504,31439
2,J00,200505,26662
2,J00,200506,16742
2,J00,200507,12749
2,J00,200508,12442
2,J00,200509,22307
2,J00,200510,24912
2,J00,200511,28077
2,J00,200512,43489
2,J00,200601,20832
2,J00,200602,19491
2,J00,200603,31691
2,J00,200604,46075
2,J00,200605,27776
2,J00,200606,17789
2,J00,200607,14701
2,J00,200608,12398
2,J00,200609,29923
2,J00,200610,19466
2,J00,200611,28302
2,J00,200612,29567
2,J00,200701,21495
2,J00,200702,16811
2,J00,200703,24828
2,J00,200704,28833
2,J00,200705,19503
2,J00,200706,15627
2,J00,200707,14729
2,J00,200708,13211
2,J00,200709,30070
2,J00,200710,29688
2,J00,200711,33909
2,J00,200712,36830
2,J00,200801,25743
2,J00,200802,31553
2,J00,200803,32989
2,J00,200804,34066
2,J00,200805,23258
2,J00,200806,20257
2,J00,200807,14081
2,J00,200808,13862
2,J00,200809,23133
2,J00,200810,26094
2,J00,200811,28415
2,J00,200812,43454
2,J00,200901,24073
2,J00,200902,16715
2,J00,200903,31628
2,J00,200904,42384
2,J00,200905,24841
2,J00,200906,21224
2,J00,200907,16737
2,J00,200908,21361
2,J00,200909,46689
2,J00,200910,61200
2,J00,200911,59176
2,J00,200912,32861
2,J00,201001,19134
2,J00,201002,19818
2,J00,201003,45935
2,J00,201004,53578
2,J00,201005,29580
2,J00,201006,20277
2,J00,201007,14753
2,J00,201008,13200
2,J00,201009,31660
2,J00,201010,31499
2,J00,201011,34863
2,J00,201012,41806
2,J00,201101,21837
2,J00,201102,18960
2,J00,201103,33084
2,J00,201104,30386
2,J00,201105,24586
2,J00,201106,19032
2,J00,201107,15280
2,J00,201108,17682
2,J00,201109,35323
2,J00,201110,32039
2,J00,201111,30119
2,J00,201112,33813
2,J00,201201,25175
2,J00,201202,29083
2,J00,201203,41462
2,J00,201204,36375
2,J00,201205,26559
2,J00,201206,17442
2,J00,201207,14549
2,J00,201208,14736
2,J00,201209,34368
2,J00,201210,28257
2,J00,201211,32876
2,J00,201212,26826
2,J00,201301,24689
2,J00,201302,29242
2,J00,201303,36628
2,J00,201304,36219
2,J00,201305,26165
2,J00,201306,19309
2,J00,201307,16813
2,J00,201308,17110
2,J00,201309,32823
2,J00,201310,29842
2,J00,201311,31106
2,J00,201312,27101
