Age_Group,merged_symptom,MDCARE_YM,COUNT
3,J01,200401,7924
3,J01,200402,6885
3,J01,200403,10011
3,J01,200404,9378
3,J01,200405,7930
3,J01,200406,6620
3,J01,200407,5179
3,J01,200408,5105
3,J01,200409,7895
3,J01,200410,11925
3,J01,200411,10423
3,J01,200412,11120
3,J01,200501,9366
3,J01,200502,6789
3,J01,200503,9900
3,J01,200504,12031
3,J01,200505,10258
3,J01,200506,7173
3,J01,200507,5587
3,J01,200508,5935
3,J01,200509,8981
3,J01,200510,12828
3,J01,200511,12916
3,J01,200512,15873
3,J01,200601,13180
3,J01,200602,9357
3,J01,200603,10769
3,J01,200604,11026
3,J01,200605,9246
3,J01,200606,7049
3,J01,200607,5204
3,J01,200608,5049
3,J01,200609,9479
3,J01,200610,8763
3,J01,200611,11456
3,J01,200612,12142
3,J01,200701,12845
3,J01,200702,7383
3,J01,200703,8853
3,J01,200704,10832
3,J01,200705,8958
3,J01,200706,7597
3,J01,200707,7190
3,J01,200708,6718
3,J01,200709,11838
3,J01,200710,15086
3,J01,200711,18099
3,J01,200712,19155
3,J01,200801,17725
3,J01,200802,15019
3,J01,200803,15156
3,J01,200804,16118
3,J01,200805,13965
3,J01,200806,10790
3,J01,200807,8327
3,J01,200808,8478
3,J01,200809,13070
3,J01,200810,16246
3,J01,200811,16501
3,J01,200812,22065
3,J01,200901,18351
3,J01,200902,11196
3,J01,200903,14599
3,J01,200904,18354
3,J01,200905,14397
3,J01,200906,11290
3,J01,200907,8658
3,J01,200908,10729
3,J01,200909,17321
3,J01,200910,20605
3,J01,200911,21459
3,J01,200912,19712
3,J01,201001,17881
3,J01,201002,13786
3,J01,201003,17324
3,J01,201004,22382
3,J01,201005,16901
3,J01,201006,12999
3,J01,201007,10109
3,J01,201008,8718
3,J01,201009,15718
3,J01,201010,20580
3,J01,201011,18847
3,J01,201012,21282
3,J01,201101,17074
3,J01,201102,13612
3,J01,201103,18193
3,J01,201104,17621
3,J01,201105,15027
3,J01,201106,10961
3,J01,201107,8301
3,J01,201108,9375
3,J01,201109,15798
3,J01,201110,17877
3,J01,201111,18410
3,J01,201112,19808
3,J01,201201,18261
3,J01,201202,17850
3,J01,201203,19393
3,J01,201204,19042
3,J01,201205,17309
3,J01,201206,11070
3,J01,201207,8365
3,J01,201208,8379
3,J01,201209,15926
3,J01,201210,19684
3,J01,201211,18374
3,J01,201212,17059
3,J01,201301,18899
3,J01,201302,16309
3,J01,201303,18963
3,J01,201304,20450
3,J01,201305,16130
3,J01,201306,10423
3,J01,201307,9184
3,J01,201308,10097
3,J01,201309,15852
3,J01,201310,18606
3,J01,201311,19802
3,J01,201312,16919
