Age_Group,merged_symptom,MDCARE_YM,COUNT
5,J04,200401,16043
5,J04,200402,13948
5,J04,200403,19203
5,J04,200404,18883
5,J04,200405,15325
5,J04,200406,12527
5,J04,200407,9738
5,J04,200408,9293
5,J04,200409,12657
5,J04,200410,17648
5,J04,200411,16809
5,J04,200412,18930
5,J04,200501,19600
5,J04,200502,15517
5,J04,200503,19331
5,J04,200504,23865
5,J04,200505,21638
5,J04,200506,15196
5,J04,200507,10826
5,J04,200508,10470
5,J04,200509,12750
5,J04,200510,19347
5,J04,200511,21413
5,J04,200512,26923
5,J04,200601,26849
5,J04,200602,20155
5,J04,200603,22147
5,J04,200604,22444
5,J04,200605,21641
5,J04,200606,16058
5,J04,200607,10907
5,J04,200608,9940
5,J04,200609,14574
5,J04,200610,16532
5,J04,200611,20452
5,J04,200612,24896
5,J04,200701,30324
5,J04,200702,18976
5,J04,200703,19386
5,J04,200704,22783
5,J04,200705,20818
5,J04,200706,20219
5,J04,200707,18881
5,J04,200708,16576
5,J04,200709,24279
5,J04,200710,30735
5,J04,200711,34197
5,J04,200712,40642
5,J04,200801,44004
5,J04,200802,44636
5,J04,200803,43097
5,J04,200804,36857
5,J04,200805,35309
5,J04,200806,27820
5,J04,200807,19951
5,J04,200808,17457
5,J04,200809,23048
5,J04,200810,30234
5,J04,200811,32650
5,J04,200812,46994
5,J04,200901,49257
5,J04,200902,30737
5,J04,200903,34993
5,J04,200904,44378
5,J04,200905,37699
5,J04,200906,27672
5,J04,200907,21158
5,J04,200908,22743
5,J04,200909,35393
5,J04,200910,39648
5,J04,200911,45558
5,J04,200912,45508
5,J04,201001,45744
5,J04,201002,36921
5,J04,201003,39125
5,J04,201004,48825
5,J04,201005,47324
5,J04,201006,36578
5,J04,201007,26887
5,J04,201008,22551
5,J04,201009,33777
5,J04,201010,45649
5,J04,201011,46622
5,J04,201012,57679
5,J04,201101,58913
5,J04,201102,41705
5,J04,201103,49794
5,J04,201104,49210
5,J04,201105,45765
5,J04,201106,34900
5,J04,201107,25209
5,J04,201108,23959
5,J04,201109,34706
5,J04,201110,40917
5,J04,201111,45780
5,J04,201112,55280
5,J04,201201,58069
5,J04,201202,60135
5,J04,201203,58825
5,J04,201204,57873
5,J04,201205,52177
5,J04,201206,36011
5,J04,201207,25534
5,J04,201208,24195
5,J04,201209,36086
5,J04,201210,47969
5,J04,201211,47777
5,J04,201212,48087
5,J04,201301,59914
5,J04,201302,55474
5,J04,201303,59962
5,J04,201304,58865
5,J04,201305,49551
5,J04,201306,33242
5,J04,201307,27499
5,J04,201308,27157
5,J04,201309,39741
5,J04,201310,47424
5,J04,201311,51838
5,J04,201312,52709
