Age_Group,merged_symptom,MDCARE_YM,COUNT
3,J00,200401,12209
3,J00,200402,10892
3,J00,200403,17475
3,J00,200404,14053
3,J00,200405,10239
3,J00,200406,8339
3,J00,200407,6645
3,J00,200408,6977
3,J00,200409,11563
3,J00,200410,16454
3,J00,200411,13998
3,J00,200412,15013
3,J00,200501,12473
3,J00,200502,8758
3,J00,200503,12760
3,J00,200504,15165
3,J00,200505,12771
3,J00,200506,7893
3,J00,200507,6453
3,J00,200508,6994
3,J00,200509,11058
3,J00,200510,16537
3,J00,200511,15449
3,J00,200512,19802
3,J00,200601,16470
3,J00,200602,12693
3,J00,200603,15086
3,J00,200604,15127
3,J00,200605,12115
3,J00,200606,8571
3,J00,200607,6538
3,J00,200608,6506
3,J00,200609,12366
3,J00,200610,12073
3,J00,200611,15395
3,J00,200612,16709
3,J00,200701,18929
3,J00,200702,9336
3,J00,200703,11026
3,J00,200704,13072
3,J00,200705,10386
3,J00,200706,7444
3,J00,200707,7166
3,J00,200708,6875
3,J00,200709,13329
3,J00,200710,15894
3,J00,200711,17963
3,J00,200712,20140
3,J00,200801,19062
3,J00,200802,15583
3,J00,200803,15082
3,J00,200804,13955
3,J00,200805,11579
3,J00,200806,8710
3,J00,200807,6968
3,J00,200808,6853
3,J00,200809,11229
3,J00,200810,14264
3,J00,200811,13456
3,J00,200812,21774
3,J00,200901,17656
3,J00,200902,8745
3,J00,200903,11114
3,J00,200904,15284
3,J00,200905,11959
3,J00,200906,8698
3,J00,200907,7140
3,J00,200908,10407
3,J00,200909,18294
3,J00,200910,23070
3,J00,200911,27494
3,J00,200912,19611
3,J00,201001,15994
3,J00,201002,11254
3,J00,201003,14945
3,J00,201004,20251
3,J00,201005,13137
3,J00,201006,9072
3,J00,201007,7200
3,J00,201008,6608
3,J00,201009,13673
3,J00,201010,16890
3,J00,201011,14732
3,J00,201012,20660
3,J00,201101,15595
3,J00,201102,10455
3,J00,201103,14319
3,J00,201104,13296
3,J00,201105,11359
3,J00,201106,8061
3,J00,201107,6456
3,J00,201108,7582
3,J00,201109,13393
3,J00,201110,15148
3,J00,201111,15322
3,J00,201112,17446
3,J00,201201,16545
3,J00,201202,15804
3,J00,201203,17332
3,J00,201204,16404
3,J00,201205,13199
3,J00,201206,8193
3,J00,201207,6526
3,J00,201208,6970
3,J00,201209,13297
3,J00,201210,16098
3,J00,201211,14200
3,J00,201212,13063
3,J00,201301,15880
3,J00,201302,14018
3,J00,201303,15707
3,J00,201304,15676
3,J00,201305,11914
3,J00,201306,7542
3,J00,201307,6707
3,J00,201308,7290
3,J00,201309,12516
3,J00,201310,14523
3,J00,201311,14715
3,J00,201312,12693
