Age_Group,merged_symptom,MDCARE_YM,COUNT
3,J04,200401,9392
3,J04,200402,8520
3,J04,200403,14768
3,J04,200404,13125
3,J04,200405,10821
3,J04,200406,9163
3,J04,200407,7085
3,J04,200408,6935
3,J04,200409,9908
3,J04,200410,13743
3,J04,200411,12408
3,J04,200412,13266
3,J04,200501,10982
3,J04,200502,7961
3,J04,200503,12359
3,J04,200504,16090
3,J04,200505,14173
3,J04,200506,9906
3,J04,200507,8031
3,J04,200508,8079
3,J04,200509,11435
3,J04,200510,16283
3,J04,200511,15782
3,J04,200512,18873
3,J04,200601,15874
3,J04,200602,11392
3,J04,200603,14096
3,J04,200604,15862
3,J04,200605,13725
3,J04,200606,10002
3,J04,200607,7505
3,J04,200608,7369
3,J04,200609,12012
3,J04,200610,11596
3,J04,200611,14751
3,J04,200612,16562
3,J04,200701,18603
3,J04,200702,9828
3,J04,200703,11847
3,J04,200704,15157
3,J04,200705,13057
3,J04,200706,10731
3,J04,200707,10023
3,J04,200708,9728
3,J04,200709,16026
3,J04,200710,19418
3,J04,200711,21757
3,J04,200712,23979
3,J04,200801,22285
3,J04,200802,18131
3,J04,200803,20228
3,J04,200804,20339
3,J04,200805,17594
3,J04,200806,13686
3,J04,200807,11429
3,J04,200808,10676
3,J04,200809,15757
3,J04,200810,19358
3,J04,200811,19403
3,J04,200812,28303
3,J04,200901,22775
3,J04,200902,12395
3,J04,200903,16942
3,J04,200904,22793
3,J04,200905,18459
3,J04,200906,14413
3,J04,200907,12320
3,J04,200908,15034
3,J04,200909,23847
3,J04,200910,28675
3,J04,200911,31346
3,J04,200912,25727
3,J04,201001,20710
3,J04,201002,15816
3,J04,201003,22748
3,J04,201004,32231
3,J04,201005,23903
3,J04,201006,17878
3,J04,201007,14302
3,J04,201008,12878
3,J04,201009,22163
3,J04,201010,27684
3,J04,201011,25330
3,J04,201012,32396
3,J04,201101,24242
3,J04,201102,17217
3,J04,201103,23701
3,J04,201104,24708
3,J04,201105,22240
3,J04,201106,16357
3,J04,201107,12860
3,J04,201108,14319
3,J04,201109,22932
3,J04,201110,26159
3,J04,201111,25719
3,J04,201112,27222
3,J04,201201,25341
3,J04,201202,24661
3,J04,201203,29654
3,J04,201204,29891
3,J04,201205,26043
3,J04,201206,16829
3,J04,201207,13154
3,J04,201208,13195
3,J04,201209,23638
3,J04,201210,27697
3,J04,201211,25616
3,J04,201212,22155
3,J04,201301,26273
3,J04,201302,23082
3,J04,201303,28959
3,J04,201304,30658
3,J04,201305,25226
3,J04,201306,16474
3,J04,201307,14581
3,J04,201308,15728
3,J04,201309,23902
3,J04,201310,26945
3,J04,201311,28144
3,J04,201312,23935
