Age_Group,merged_symptom,MDCARE_YM,COUNT
2,J04,200401,14422
2,J04,200402,14522
2,J04,200403,32236
2,J04,200404,25950
2,J04,200405,20408
2,J04,200406,14198
2,J04,200407,9971
2,J04,200408,9490
2,J04,200409,20722
2,J04,200410,18525
2,J04,200411,21884
2,J04,200412,25616
2,J04,200501,16092
2,J04,200502,12099
2,J04,200503,24046
2,J04,200504,30885
2,J04,200505,26110
2,J04,200506,16627
2,J04,200507,12498
2,J04,200508,11660
2,J04,200509,21473
2,J04,200510,23870
2,J04,200511,26912
2,J04,200512,42188
2,J04,200601,20594
2,J04,200602,16782
2,J04,200603,27987
2,J04,200604,43514
2,J04,200605,27032
2,J04,200606,16674
2,J04,200607,12950
2,J04,200608,10777
2,J04,200609,25847
2,J04,200610,17790
2,J04,200611,25514
2,J04,200612,28406
2,J04,200701,20573
2,J04,200702,15879
2,J04,200703,23814
2,J04,200704,30832
2,J04,200705,21857
2,J04,200706,18949
2,J04,200707,17441
2,J04,200708,16281
2,J04,200709,34590
2,J04,200710,35411
2,J04,200711,41642
2,J04,200712,46239
2,J04,200801,33005
2,J04,200802,37724
2,J04,200803,40863
2,J04,200804,45661
2,J04,200805,32353
2,J04,200806,26524
2,J04,200807,17735
2,J04,200808,18595
2,J04,200809,30500
2,J04,200810,34372
2,J04,200811,38964
2,J04,200812,62375
2,J04,200901,33448
2,J04,200902,24509
2,J04,200903,44708
2,J04,200904,62001
2,J04,200905,36667
2,J04,200906,31448
2,J04,200907,23396
2,J04,200908,26974
2,J04,200909,57108
2,J04,200910,70921
2,J04,200911,68206
2,J04,200912,46041
2,J04,201001,28012
2,J04,201002,26909
2,J04,201003,64835
2,J04,201004,83212
2,J04,201005,48699
2,J04,201006,32508
2,J04,201007,22661
2,J04,201008,19818
2,J04,201009,46990
2,J04,201010,48952
2,J04,201011,56789
2,J04,201012,65200
2,J04,201101,34293
2,J04,201102,28703
2,J04,201103,47877
2,J04,201104,47922
2,J04,201105,41387
2,J04,201106,30316
2,J04,201107,23173
2,J04,201108,27832
2,J04,201109,54287
2,J04,201110,50937
2,J04,201111,47517
2,J04,201112,53150
2,J04,201201,38917
2,J04,201202,44539
2,J04,201203,61029
2,J04,201204,56737
2,J04,201205,44177
2,J04,201206,26479
2,J04,201207,19857
2,J04,201208,20833
2,J04,201209,51005
2,J04,201210,42292
2,J04,201211,49202
2,J04,201212,39768
2,J04,201301,35388
2,J04,201302,41514
2,J04,201303,54073
2,J04,201304,57457
2,J04,201305,42366
2,J04,201306,29612
2,J04,201307,24466
2,J04,201308,25558
2,J04,201309,49959
2,J04,201310,46228
2,J04,201311,48996
2,J04,201312,43348
