Age_Group,merged_symptom,MDCARE_YM,COUNT
2,J01,200401,28753
2,J01,200402,25457
2,J01,200403,42331
2,J01,200404,36621
2,J01,200405,30392
2,J01,200406,21970
2,J01,200407,15202
2,J01,200408,16366
2,J01,200409,31659
2,J01,200410,30747
2,J01,200411,34840
2,J01,200412,40220
2,J01,200501,30888
2,J01,200502,23844
2,J01,200503,39333
2,J01,200504,43994
2,J01,200505,36890
2,J01,200506,24261
2,J01,200507,17841
2,J01,200508,19785
2,J01,200509,33090
2,J01,200510,37823
2,J01,200511,42507
2,J01,200512,61409
2,J01,200601,37657
2,J01,200602,29878
2,J01,200603,39287
2,J01,200604,50941
2,J01,200605,33458
2,J01,200606,22377
2,J01,200607,17411
2,J01,200608,16257
2,J01,200609,36796
2,J01,200610,25861
2,J01,200611,36846
2,J01,200612,38700
2,J01,200701,31951
2,J01,200702,27136
2,J01,200703,34827
2,J01,200704,40355
2,J01,200705,28444
2,J01,200706,26022
2,J01,200707,25053
2,J01,200708,23551
2,J01,200709,48798
2,J01,200710,54824
2,J01,200711,64347
2,J01,200712,67620
2,J01,200801,56718
2,J01,200802,62000
2,J01,200803,60731
2,J01,200804,67982
2,J01,200805,47567
2,J01,200806,39157
2,J01,200807,25192
2,J01,200808,29384
2,J01,200809,47324
2,J01,200810,53294
2,J01,200811,60589
2,J01,200812,86463
2,J01,200901,57045
2,J01,200902,45508
2,J01,200903,66657
2,J01,200904,83247
2,J01,200905,50580
2,J01,200906,40697
2,J01,200907,30251
2,J01,200908,36929
2,J01,200909,72768
2,J01,200910,83302
2,J01,200911,78379
2,J01,200912,65658
2,J01,201001,47630
2,J01,201002,45936
2,J01,201003,82353
2,J01,201004,98877
2,J01,201005,62306
2,J01,201006,41356
2,J01,201007,28548
2,J01,201008,25867
2,J01,201009,58340
2,J01,201010,61890
2,J01,201011,71602
2,J01,201012,78958
2,J01,201101,48517
2,J01,201102,42481
2,J01,201103,62972
2,J01,201104,60312
2,J01,201105,47779
2,J01,201106,34104
2,J01,201107,25626
2,J01,201108,31623
2,J01,201109,61719
2,J01,201110,59439
2,J01,201111,55763
2,J01,201112,67001
2,J01,201201,53275
2,J01,201202,57087
2,J01,201203,69692
2,J01,201204,65491
2,J01,201205,50014
2,J01,201206,29382
2,J01,201207,21956
2,J01,201208,23155
2,J01,201209,58610
2,J01,201210,50202
2,J01,201211,59370
2,J01,201212,49758
2,J01,201301,45954
2,J01,201302,51961
2,J01,201303,60259
2,J01,201304,66322
2,J01,201305,46625
2,J01,201306,30630
2,J01,201307,25028
2,J01,201308,27338
2,J01,201309,54421
2,J01,201310,49933
2,J01,201311,56293
2,J01,201312,49845
