Age_Group,merged_symptom,MDCARE_YM,COUNT
1,J04,200401,23994
1,J04,200402,24080
1,J04,200403,35491
1,J04,200404,35208
1,J04,200405,32378
1,J04,200406,27023
1,J04,200407,24505
1,J04,200408,19398
1,J04,200409,28621
1,J04,200410,34538
1,J04,200411,34362
1,J04,200412,33890
1,J04,200501,23611
1,J04,200502,21050
1,J04,200503,31848
1,J04,200504,38363
1,J04,200505,36338
1,J04,200506,25685
1,J04,200507,23507
1,J04,200508,21558
1,J04,200509,31847
1,J04,200510,41194
1,J04,200511,39173
1,J04,200512,44938
1,J04,200601,27345
1,J04,200602,24752
1,J04,200603,29962
1,J04,200604,35030
1,J04,200605,33102
1,J04,200606,24033
1,J04,200607,19982
1,J04,200608,20138
1,J04,200609,32876
1,J04,200610,29829
1,J04,200611,34604
1,J04,200612,33451
1,J04,200701,25543
1,J04,200702,22335
1,J04,200703,26940
1,J04,200704,32957
1,J04,200705,29818
1,J04,200706,36677
1,J04,200707,36753
1,J04,200708,32917
1,J04,200709,52696
1,J04,200710,67491
1,J04,200711,68547
1,J04,200712,65588
1,J04,200801,47897
1,J04,200802,51902
1,J04,200803,54669
1,J04,200804,58560
1,J04,200805,55979
1,J04,200806,44559
1,J04,200807,33283
1,J04,200808,27310
1,J04,200809,41966
1,J04,200810,58986
1,J04,200811,59468
1,J04,200812,72748
1,J04,200901,45596
1,J04,200902,41242
1,J04,200903,55549
1,J04,200904,62962
1,J04,200905,49800
1,J04,200906,41776
1,J04,200907,37710
1,J04,200908,39268
1,J04,200909,60296
1,J04,200910,68505
1,J04,200911,59228
1,J04,200912,59430
1,J04,201001,38328
1,J04,201002,38082
1,J04,201003,59509
1,J04,201004,74210
1,J04,201005,64024
1,J04,201006,51785
1,J04,201007,43357
1,J04,201008,34424
1,J04,201009,52635
1,J04,201010,71373
1,J04,201011,75304
1,J04,201012,73234
1,J04,201101,47741
1,J04,201102,40827
1,J04,201103,58402
1,J04,201104,59894
1,J04,201105,59188
1,J04,201106,47085
1,J04,201107,41156
1,J04,201108,43934
1,J04,201109,58109
1,J04,201110,71286
1,J04,201111,66677
1,J04,201112,69736
1,J04,201201,52874
1,J04,201202,55518
1,J04,201203,64924
1,J04,201204,65067
1,J04,201205,60794
1,J04,201206,42179
1,J04,201207,41777
1,J04,201208,41126
1,J04,201209,61844
1,J04,201210,67056
1,J04,201211,71907
1,J04,201212,60203
1,J04,201301,48786
1,J04,201302,54267
1,J04,201303,64431
1,J04,201304,65393
1,J04,201305,57749
1,J04,201306,47871
1,J04,201307,44810
1,J04,201308,44424
1,J04,201309,60507
1,J04,201310,70132
1,J04,201311,71674
1,J04,201312,64146
