Age_Group,merged_symptom,MDCARE_YM,COUNT
2,J06,200401,24595
2,J06,200402,24742
2,J06,200403,54452
2,J06,200404,40789
2,J06,200405,31755
2,J06,200406,22802
2,J06,200407,16153
2,J06,200408,15674
2,J06,200409,35435
2,J06,200410,29837
2,J06,200411,33638
2,J06,200412,38514
2,J06,200501,23721
2,J06,200502,18004
2,J06,200503,35540
2,J06,200504,43612
2,J06,200505,37651
2,J06,200506,23939
2,J06,200507,18390
2,J06,200508,16778
2,J06,200509,31039
2,J06,200510,33251
2,J06,200511,37679
2,J06,200512,59783
2,J06,200601,27727
2,J06,200602,24425
2,J06,200603,41043
2,J06,200604,64197
2,J06,200605,38429
2,J06,200606,25084
2,J06,200607,20322
2,J06,200608,16610
2,J06,200609,39748
2,J06,200610,25969
2,J06,200611,38010
2,J06,200612,40926
2,J06,200701,29216
2,J06,200702,23341
2,J06,200703,35589
2,J06,200704,44109
2,J06,200705,30736
2,J06,200706,24878
2,J06,200707,24158
2,J06,200708,20728
2,J06,200709,46312
2,J06,200710,45802
2,J06,200711,52406
2,J06,200712,57864
2,J06,200801,40929
2,J06,200802,50757
2,J06,200803,53423
2,J06,200804,56257
2,J06,200805,38880
2,J06,200806,34241
2,J06,200807,24157
2,J06,200808,22572
2,J06,200809,37672
2,J06,200810,42136
2,J06,200811,46656
2,J06,200812,75154
2,J06,200901,39157
2,J06,200902,27628
2,J06,200903,53353
2,J06,200904,73384
2,J06,200905,43275
2,J06,200906,37987
2,J06,200907,29253
2,J06,200908,36238
2,J06,200909,78793
2,J06,200910,105532
2,J06,200911,104213
2,J06,200912,56995
2,J06,201001,32471
2,J06,201002,32906
2,J06,201003,80558
2,J06,201004,97132
2,J06,201005,54236
2,J06,201006,37374
2,J06,201007,27522
2,J06,201008,23461
2,J06,201009,54773
2,J06,201010,54730
2,J06,201011,61561
2,J06,201012,73865
2,J06,201101,37484
2,J06,201102,31736
2,J06,201103,56034
2,J06,201104,53025
2,J06,201105,44938
2,J06,201106,34627
2,J06,201107,27245
2,J06,201108,30640
2,J06,201109,59860
2,J06,201110,54527
2,J06,201111,51771
2,J06,201112,56669
2,J06,201201,42669
2,J06,201202,49904
2,J06,201203,72477
2,J06,201204,62714
2,J06,201205,46824
2,J06,201206,29622
2,J06,201207,24685
2,J06,201208,24127
2,J06,201209,54591
2,J06,201210,44192
2,J06,201211,51366
2,J06,201212,42093
2,J06,201301,36944
2,J06,201302,44992
2,J06,201303,57517
2,J06,201304,58128
2,J06,201305,42763
2,J06,201306,31782
2,J06,201307,27922
2,J06,201308,27940
2,J06,201309,51043
2,J06,201310,46366
2,J06,201311,49527
2,J06,201312,43624
