Age_Group,merged_symptom,MDCARE_YM,COUNT
5,J01,200401,9201
5,J01,200402,7468
5,J01,200403,9465
5,J01,200404,9297
5,J01,200405,7280
5,J01,200406,6111
5,J01,200407,4593
5,J01,200408,4441
5,J01,200409,6368
5,J01,200410,9341
5,J01,200411,9485
5,J01,200412,11308
5,J01,200501,11606
5,J01,200502,9114
5,J01,200503,10837
5,J01,200504,12386
5,J01,200505,11031
5,J01,200506,7239
5,J01,200507,5302
5,J01,200508,5167
5,J01,200509,6629
5,J01,200510,10200
5,J01,200511,11915
5,J01,200512,15933
5,J01,200601,16238
5,J01,200602,11834
5,J01,200603,12086
5,J01,200604,11252
5,J01,200605,10200
5,J01,200606,7575
5,J01,200607,5326
5,J01,200608,4674
5,J01,200609,7624
5,J01,200610,8419
5,J01,200611,10911
5,J01,200612,13230
5,J01,200701,15752
5,J01,200702,10218
5,J01,200703,10428
5,J01,200704,11458
5,J01,200705,10413
5,J01,200706,10293
5,J01,200707,9584
5,J01,200708,8197
5,J01,200709,12378
5,J01,200710,16401
5,J01,200711,19545
5,J01,200712,24189
5,J01,200801,26686
5,J01,200802,25897
5,J01,200803,24228
5,J01,200804,21912
5,J01,200805,20671
5,J01,200806,16462
5,J01,200807,11653
5,J01,200808,9778
5,J01,200809,13894
5,J01,200810,17752
5,J01,200811,20247
5,J01,200812,29788
5,J01,200901,30854
5,J01,200902,20602
5,J01,200903,22603
5,J01,200904,26895
5,J01,200905,22351
5,J01,200906,16034
5,J01,200907,11889
5,J01,200908,12684
5,J01,200909,20609
5,J01,200910,22389
5,J01,200911,24892
5,J01,200912,28533
5,J01,201001,31653
5,J01,201002,26013
5,J01,201003,26069
5,J01,201004,29472
5,J01,201005,26653
5,J01,201006,20071
5,J01,201007,15008
5,J01,201008,12259
5,J01,201009,18210
5,J01,201010,25555
5,J01,201011,27459
5,J01,201012,32827
5,J01,201101,33679
5,J01,201102,26827
5,J01,201103,32490
5,J01,201104,30029
5,J01,201105,26376
5,J01,201106,19817
5,J01,201107,13972
5,J01,201108,13104
5,J01,201109,19242
5,J01,201110,23031
5,J01,201111,26327
5,J01,201112,33709
5,J01,201201,36242
5,J01,201202,35641
5,J01,201203,34921
5,J01,201204,32548
5,J01,201205,29456
5,J01,201206,20332
5,J01,201207,13953
5,J01,201208,12903
5,J01,201209,20086
5,J01,201210,27543
5,J01,201211,28894
5,J01,201212,31042
5,J01,201301,37481
5,J01,201302,33825
5,J01,201303,35386
5,J01,201304,35878
5,J01,201305,29186
5,J01,201306,18648
5,J01,201307,15243
5,J01,201308,15000
5,J01,201309,23072
5,J01,201310,27444
5,J01,201311,31485
5,J01,201312,33726
