Age_Group,merged_symptom,MDCARE_YM,COUNT
5,J02,200401,20215
5,J02,200402,17311
5,J02,200403,23646
5,J02,200404,22680
5,J02,200405,18128
5,J02,200406,14875
5,J02,200407,11893
5,J02,200408,12178
5,J02,200409,16589
5,J02,200410,22466
5,J02,200411,20577
5,J02,200412,23163
5,J02,200501,23206
5,J02,200502,17774
5,J02,200503,22601
5,J02,200504,26378
5,J02,200505,23852
5,J02,200506,16305
5,J02,200507,12431
5,J02,200508,12462
5,J02,200509,15604
5,J02,200510,22272
5,J02,200511,24011
5,J02,200512,30067
5,J02,200601,29673
5,J02,200602,22057
5,J02,200603,24312
5,J02,200604,24326
5,J02,200605,22457
5,J02,200606,16669
5,J02,200607,11940
5,J02,200608,11191
5,J02,200609,17112
5,J02,200610,18485
5,J02,200611,22700
5,J02,200612,26130
5,J02,200701,31325
5,J02,200702,19515
5,J02,200703,20895
5,J02,200704,23493
5,J02,200705,20858
5,J02,200706,19730
5,J02,200707,18846
5,J02,200708,16686
5,J02,200709,25097
5,J02,200710,30465
5,J02,200711,33508
5,J02,200712,39059
5,J02,200801,41184
5,J02,200802,42130
5,J02,200803,39338
5,J02,200804,33495
5,J02,200805,31788
5,J02,200806,24525
5,J02,200807,18214
5,J02,200808,16423
5,J02,200809,22669
5,J02,200810,28681
5,J02,200811,31020
5,J02,200812,43367
5,J02,200901,44459
5,J02,200902,27137
5,J02,200903,31732
5,J02,200904,39152
5,J02,200905,32756
5,J02,200906,23505
5,J02,200907,18868
5,J02,200908,21474
5,J02,200909,35962
5,J02,200910,40160
5,J02,200911,46816
5,J02,200912,43892
5,J02,201001,42769
5,J02,201002,34296
5,J02,201003,35335
5,J02,201004,44193
5,J02,201005,40054
5,J02,201006,30313
5,J02,201007,23161
5,J02,201008,20247
5,J02,201009,31847
5,J02,201010,41046
5,J02,201011,40713
5,J02,201012,51032
5,J02,201101,52291
5,J02,201102,36875
5,J02,201103,44539
5,J02,201104,41509
5,J02,201105,37943
5,J02,201106,28623
5,J02,201107,21505
5,J02,201108,20805
5,J02,201109,31409
5,J02,201110,37831
5,J02,201111,41426
5,J02,201112,49407
5,J02,201201,53309
5,J02,201202,53484
5,J02,201203,51514
5,J02,201204,48964
5,J02,201205,42186
5,J02,201206,28714
5,J02,201207,21239
5,J02,201208,20341
5,J02,201209,31940
5,J02,201210,42354
5,J02,201211,40936
5,J02,201212,41040
5,J02,201301,51021
5,J02,201302,47257
5,J02,201303,49183
5,J02,201304,48255
5,J02,201305,38827
5,J02,201306,25914
5,J02,201307,22499
5,J02,201308,22333
5,J02,201309,33353
5,J02,201310,40616
5,J02,201311,43343
5,J02,201312,43024
