SEX_TYPE,merged_symptom,MDCARE_YM,COUNT
2,J06,200401,108639
2,J06,200402,99013
2,J06,200403,154726
2,J06,200404,138535
2,J06,200405,112398
2,J06,200406,90028
2,J06,200407,72502
2,J06,200408,67645
2,J06,200409,108835
2,J06,200410,132040
2,J06,200411,125493
2,J06,200412,135059
2,J06,200501,110476
2,J06,200502,87460
2,J06,200503,126666
2,J06,200504,147916
2,J06,200505,133856
2,J06,200506,91738
2,J06,200507,73300
2,J06,200508,68801
2,J06,200509,101774
2,J06,200510,135614
2,J06,200511,138167
2,J06,200512,185426
2,J06,200601,138475
2,J06,200602,112847
2,J06,200603,137821
2,J06,200604,151026
2,J06,200605,128727
2,J06,200606,94313
2,J06,200607,72096
2,J06,200608,67347
2,J06,200609,119580
2,J06,200610,112304
2,J06,200611,137500
2,J06,200612,150210
2,J06,200701,152848
2,J06,200702,106799
2,J06,200703,124513
2,J06,200704,143629
2,J06,200705,122372
2,J06,200706,114402
2,J06,200707,111759
2,J06,200708,96062
2,J06,200709,165510
2,J06,200710,196702
2,J06,200711,211799
2,J06,200712,230158
2,J06,200801,209900
2,J06,200802,224641
2,J06,200803,218730
2,J06,200804,198919
2,J06,200805,178444
2,J06,200806,145035
2,J06,200807,108942
2,J06,200808,95714
2,J06,200809,142259
2,J06,200810,183730
2,J06,200811,186419
2,J06,200812,264038
2,J06,200901,216152
2,J06,200902,141230
2,J06,200903,185996
2,J06,200904,230958
2,J06,200905,182858
2,J06,200906,143061
2,J06,200907,117870
2,J06,200908,134735
2,J06,200909,231255
2,J06,200910,272968
2,J06,200911,288179
2,J06,200912,238513
2,J06,201001,195940
2,J06,201002,167387
2,J06,201003,219366
2,J06,201004,267584
2,J06,201005,218303
2,J06,201006,167919
2,J06,201007,131941
2,J06,201008,109617
2,J06,201009,188215
2,J06,201010,232691
2,J06,201011,230325
2,J06,201012,269852
2,J06,201101,222291
2,J06,201102,169419
2,J06,201103,227524
2,J06,201104,215042
2,J06,201105,195447
2,J06,201106,153159
2,J06,201107,122637
2,J06,201108,125897
2,J06,201109,190320
2,J06,201110,216236
2,J06,201111,212886
2,J06,201112,249473
2,J06,201201,238367
2,J06,201202,240194
2,J06,201203,259460
2,J06,201204,246274
2,J06,201205,212674
2,J06,201206,150331
2,J06,201207,124889
2,J06,201208,117125
2,J06,201209,192279
2,J06,201210,223380
2,J06,201211,218742
2,J06,201212,201432
2,J06,201301,217345
2,J06,201302,217459
2,J06,201303,243888
2,J06,201304,240734
2,J06,201305,197607
2,J06,201306,146806
2,J06,201307,130446
2,J06,201308,128940
2,J06,201309,190462
2,J06,201310,213389
2,J06,201311,225355
2,J06,201312,208755
