SEX_TYPE,merged_symptom,MDCARE_YM,COUNT
2,J02,200401,89527
2,J02,200402,83781
2,J02,200403,133496
2,J02,200404,121810
2,J02,200405,103111
2,J02,200406,86354
2,J02,200407,72163
2,J02,200408,65983
2,J02,200409,100783
2,J02,200410,115705
2,J02,200411,108247
2,J02,200412,115915
2,J02,200501,92567
2,J02,200502,73133
2,J02,200503,110299
2,J02,200504,132733
2,J02,200505,122392
2,J02,200506,88080
2,J02,200507,74097
2,J02,200508,68591
2,J02,200509,95665
2,J02,200510,117303
2,J02,200511,118258
2,J02,200512,157447
2,J02,200601,112917
2,J02,200602,90241
2,J02,200603,111102
2,J02,200604,127527
2,J02,200605,111137
2,J02,200606,83685
2,J02,200607,65688
2,J02,200608,60720
2,J02,200609,100611
2,J02,200610,87718
2,J02,200611,106666
2,J02,200612,115013
2,J02,200701,113005
2,J02,200702,79538
2,J02,200703,93762
2,J02,200704,111867
2,J02,200705,96980
2,J02,200706,96676
2,J02,200707,96717
2,J02,200708,83368
2,J02,200709,132310
2,J02,200710,147611
2,J02,200711,156948
2,J02,200712,168753
2,J02,200801,150963
2,J02,200802,160514
2,J02,200803,159170
2,J02,200804,152499
2,J02,200805,139935
2,J02,200806,118530
2,J02,200807,96224
2,J02,200808,80945
2,J02,200809,115042
2,J02,200810,137007
2,J02,200811,138193
2,J02,200812,195419
2,J02,200901,150788
2,J02,200902,102392
2,J02,200903,138852
2,J02,200904,176350
2,J02,200905,139832
2,J02,200906,116645
2,J02,200907,100579
2,J02,200908,110963
2,J02,200909,186875
2,J02,200910,210184
2,J02,200911,218503
2,J02,200912,174025
2,J02,201001,136208
2,J02,201002,119745
2,J02,201003,166745
2,J02,201004,211599
2,J02,201005,170994
2,J02,201006,137624
2,J02,201007,111417
2,J02,201008,94392
2,J02,201009,155422
2,J02,201010,179435
2,J02,201011,172753
2,J02,201012,200053
2,J02,201101,159213
2,J02,201102,124495
2,J02,201103,169655
2,J02,201104,164726
2,J02,201105,155291
2,J02,201106,126713
2,J02,201107,105957
2,J02,201108,107065
2,J02,201109,157808
2,J02,201110,170300
2,J02,201111,165209
2,J02,201112,190050
2,J02,201201,177820
2,J02,201202,183765
2,J02,201203,205479
2,J02,201204,194734
2,J02,201205,171799
2,J02,201206,128423
2,J02,201207,110960
2,J02,201208,101270
2,J02,201209,159768
2,J02,201210,170519
2,J02,201211,169646
2,J02,201212,151759
2,J02,201301,162354
2,J02,201302,165456
2,J02,201303,187943
2,J02,201304,187920
2,J02,201305,160157
2,J02,201306,129724
2,J02,201307,118753
2,J02,201308,112913
2,J02,201309,158565
2,J02,201310,168330
2,J02,201311,172055
2,J02,201312,159473
