SEX_TYPE,merged_symptom,MDCARE_YM,COUNT
1,J00,200401,70543
1,J00,200402,65059
1,J00,200403,94772
1,J00,200404,81648
1,J00,200405,66236
1,J00,200406,52748
1,J00,200407,42752
1,J00,200408,41617
1,J00,200409,67379
1,J00,200410,80784
1,J00,200411,76642
1,J00,200412,83268
1,J00,200501,68454
1,J00,200502,53428
1,J00,200503,75071
1,J00,200504,85305
1,J00,200505,75341
1,J00,200506,51329
1,J00,200507,42401
1,J00,200508,40840
1,J00,200509,60226
1,J00,200510,81293
1,J00,200511,82209
1,J00,200512,109496
1,J00,200601,82244
1,J00,200602,70265
1,J00,200603,84763
1,J00,200604,89967
1,J00,200605,73917
1,J00,200606,54365
1,J00,200607,43924
1,J00,200608,41040
1,J00,200609,72770
1,J00,200610,68253
1,J00,200611,82003
1,J00,200612,88677
1,J00,200701,90092
1,J00,200702,60971
1,J00,200703,69607
1,J00,200704,75555
1,J00,200705,62894
1,J00,200706,58868
1,J00,200707,58753
1,J00,200708,51349
1,J00,200709,88705
1,J00,200710,104711
1,J00,200711,113429
1,J00,200712,121665
1,J00,200801,111705
1,J00,200802,117147
1,J00,200803,110839
1,J00,200804,100091
1,J00,200805,86566
1,J00,200806,70231
1,J00,200807,55348
1,J00,200808,49967
1,J00,200809,74630
1,J00,200810,94963
1,J00,200811,95898
1,J00,200812,130789
1,J00,200901,108145
1,J00,200902,72412
1,J00,200903,94362
1,J00,200904,111781
1,J00,200905,87301
1,J00,200906,69709
1,J00,200907,59212
1,J00,200908,67213
1,J00,200909,110494
1,J00,200910,135796
1,J00,200911,135844
1,J00,200912,117964
1,J00,201001,100244
1,J00,201002,84674
1,J00,201003,112440
1,J00,201004,128044
1,J00,201005,101115
1,J00,201006,77176
1,J00,201007,62935
1,J00,201008,55280
1,J00,201009,92872
1,J00,201010,114566
1,J00,201011,113555
1,J00,201012,131217
1,J00,201101,110273
1,J00,201102,86469
1,J00,201103,117300
1,J00,201104,107319
1,J00,201105,95407
1,J00,201106,75633
1,J00,201107,63502
1,J00,201108,67738
1,J00,201109,101393
1,J00,201110,113187
1,J00,201111,110060
1,J00,201112,132175
1,J00,201201,128368
1,J00,201202,128622
1,J00,201203,136761
1,J00,201204,124781
1,J00,201205,109711
1,J00,201206,84729
1,J00,201207,77624
1,J00,201208,72874
1,J00,201209,118068
1,J00,201210,135778
1,J00,201211,136052
1,J00,201212,123664
1,J00,201301,131426
1,J00,201302,130087
1,J00,201303,144475
1,J00,201304,140912
1,J00,201305,117660
1,J00,201306,90584
1,J00,201307,81812
1,J00,201308,81110
1,J00,201309,119627
1,J00,201310,131416
1,J00,201311,135477
1,J00,201312,127358
