SEX_TYPE,merged_symptom,MDCARE_YM,COUNT
1,J03,200401,112597
1,J03,200402,111524
1,J03,200403,173854
1,J03,200404,151374
1,J03,200405,129068
1,J03,200406,118215
1,J03,200407,109653
1,J03,200408,95425
1,J03,200409,135526
1,J03,200410,144726
1,J03,200411,139556
1,J03,200412,154824
1,J03,200501,126913
1,J03,200502,100441
1,J03,200503,142734
1,J03,200504,178606
1,J03,200505,172371
1,J03,200506,131801
1,J03,200507,120876
1,J03,200508,106829
1,J03,200509,134082
1,J03,200510,153351
1,J03,200511,157082
1,J03,200512,217686
1,J03,200601,147747
1,J03,200602,111128
1,J03,200603,132800
1,J03,200604,173746
1,J03,200605,151111
1,J03,200606,117193
1,J03,200607,103040
1,J03,200608,89780
1,J03,200609,126156
1,J03,200610,113868
1,J03,200611,133214
1,J03,200612,150620
1,J03,200701,153030
1,J03,200702,101751
1,J03,200703,118452
1,J03,200704,145286
1,J03,200705,131761
1,J03,200706,138749
1,J03,200707,153739
1,J03,200708,131007
1,J03,200709,182383
1,J03,200710,194485
1,J03,200711,202507
1,J03,200712,227680
1,J03,200801,205583
1,J03,200802,229359
1,J03,200803,217741
1,J03,200804,211331
1,J03,200805,198141
1,J03,200806,184120
1,J03,200807,160456
1,J03,200808,125356
1,J03,200809,158135
1,J03,200810,183155
1,J03,200811,184475
1,J03,200812,277895
1,J03,200901,210476
1,J03,200902,138507
1,J03,200903,190523
1,J03,200904,249752
1,J03,200905,197426
1,J03,200906,173130
1,J03,200907,154261
1,J03,200908,151466
1,J03,200909,220037
1,J03,200910,260175
1,J03,200911,252721
1,J03,200912,205887
1,J03,201001,160831
1,J03,201002,140049
1,J03,201003,207930
1,J03,201004,267862
1,J03,201005,213715
1,J03,201006,177465
1,J03,201007,154531
1,J03,201008,134491
1,J03,201009,193055
1,J03,201010,207074
1,J03,201011,200883
1,J03,201012,242225
1,J03,201101,166067
1,J03,201102,128947
1,J03,201103,174108
1,J03,201104,174649
1,J03,201105,173896
1,J03,201106,149013
1,J03,201107,133214
1,J03,201108,127265
1,J03,201109,165449
1,J03,201110,169937
1,J03,201111,169042
1,J03,201112,187959
1,J03,201201,190749
1,J03,201202,197300
1,J03,201203,213731
1,J03,201204,197593
1,J03,201205,173108
1,J03,201206,143229
1,J03,201207,131069
1,J03,201208,118190
1,J03,201209,159007
1,J03,201210,170025
1,J03,201211,168880
1,J03,201212,156649
1,J03,201301,166782
1,J03,201302,171428
1,J03,201303,187939
1,J03,201304,184085
1,J03,201305,166885
1,J03,201306,150108
1,J03,201307,144875
1,J03,201308,132904
1,J03,201309,162307
1,J03,201310,163735
1,J03,201311,165809
1,J03,201312,158554
