SEX_TYPE,merged_symptom,MDCARE_YM,COUNT
1,J06,200401,85076
1,J06,200402,79288
1,J06,200403,122548
1,J06,200404,106772
1,J06,200405,87281
1,J06,200406,69976
1,J06,200407,58930
1,J06,200408,55934
1,J06,200409,87402
1,J06,200410,102178
1,J06,200411,97378
1,J06,200412,105480
1,J06,200501,88487
1,J06,200502,69415
1,J06,200503,96928
1,J06,200504,114294
1,J06,200505,103526
1,J06,200506,71420
1,J06,200507,60090
1,J06,200508,56077
1,J06,200509,81133
1,J06,200510,106114
1,J06,200511,106459
1,J06,200512,142877
1,J06,200601,104713
1,J06,200602,85625
1,J06,200603,103945
1,J06,200604,117692
1,J06,200605,98705
1,J06,200606,72359
1,J06,200607,58644
1,J06,200608,53888
1,J06,200609,92284
1,J06,200610,86379
1,J06,200611,104093
1,J06,200612,115731
1,J06,200701,120605
1,J06,200702,81964
1,J06,200703,94891
1,J06,200704,108915
1,J06,200705,92474
1,J06,200706,87030
1,J06,200707,88630
1,J06,200708,76828
1,J06,200709,129142
1,J06,200710,149784
1,J06,200711,160187
1,J06,200712,173759
1,J06,200801,159311
1,J06,200802,172703
1,J06,200803,165497
1,J06,200804,152253
1,J06,200805,133290
1,J06,200806,109975
1,J06,200807,87617
1,J06,200808,77285
1,J06,200809,112867
1,J06,200810,140028
1,J06,200811,143328
1,J06,200812,201865
1,J06,200901,163216
1,J06,200902,108847
1,J06,200903,143336
1,J06,200904,174502
1,J06,200905,135794
1,J06,200906,110313
1,J06,200907,94494
1,J06,200908,105919
1,J06,200909,171387
1,J06,200910,208911
1,J06,200911,215368
1,J06,200912,179326
1,J06,201001,147435
1,J06,201002,125104
1,J06,201003,173627
1,J06,201004,208002
1,J06,201005,165139
1,J06,201006,127514
1,J06,201007,104816
1,J06,201008,89711
1,J06,201009,147117
1,J06,201010,176085
1,J06,201011,174551
1,J06,201012,206540
1,J06,201101,170153
1,J06,201102,130288
1,J06,201103,174399
1,J06,201104,162890
1,J06,201105,149001
1,J06,201106,118607
1,J06,201107,97779
1,J06,201108,102074
1,J06,201109,152670
1,J06,201110,164964
1,J06,201111,162559
1,J06,201112,189882
1,J06,201201,188739
1,J06,201202,191201
1,J06,201203,204946
1,J06,201204,187899
1,J06,201205,161288
1,J06,201206,116809
1,J06,201207,102839
1,J06,201208,96627
1,J06,201209,152564
1,J06,201210,173493
1,J06,201211,171686
1,J06,201212,157930
1,J06,201301,168467
1,J06,201302,170453
1,J06,201303,188623
1,J06,201304,183972
1,J06,201305,155284
1,J06,201306,118760
1,J06,201307,108544
1,J06,201308,107632
1,J06,201309,155220
1,J06,201310,167787
1,J06,201311,175248
1,J06,201312,164715
